split,annotation,label,count,share
0,L1,Coinbase,1226,0.00037155838740023084
0,L1,ManyInManyOut,53261,0.016141575262091104
0,L1,SingleInFanOut,88692,0.026879491431730237
0,L1,FanIn,233986,0.07091310019105253
0,L1,FanOut,155396,0.04709517713576368
0,L1,OneInOneOut,1336301,0.4049868227090668
0,L1,OpReturn,12368,0.003748314955437239
0,L1,RBF,527631,0.15990678915364698
0,L1,Unlabelled,890755,0.26995717077381126
0,L2,coinbase,1226,0.00037155838740023084
0,L2,P2PKH,284651,0.08626791723642993
0,L2,P2SH,245420,0.07437835190519139
0,L2,P2WPKH,1398115,0.4237205177814631
0,L2,P2WSH,120814,0.03661456363407136
0,L2,P2TR,1184699,0.3590414763414894
0,L2,mixed,64690,0.01960531164838575
0,L2,other,1,3.030655688419501e-07
0,L3,none,3257375,0.9871982073065472
0,L3,runes,0,0.0
0,L3,omni,1252,0.00037943809219012154
0,L3,other_opreturn,40989,0.012422354601262692
0,L4,exchange,25038,0.007588155712664747
0,L4,miner,1049,0.00031791578171520564
0,L4,coinjoin,0,0.0
0,L4,other,74,2.2426852094304307e-05
0,L4,unknown,21,6.364376945680952e-06
0,L1-rule,ManyInManyOut,53261,0.016141575262091104
0,L1-rule,SingleInFanOut,88738,0.026893432447896968
0,L1-rule,FanIn,243413,0.0737700993085256
0,L1-rule,FanOut,281297,0.08525143531853403
0,L1-rule,OneInOneOut,1336301,0.4049868227090668
0,all,rows,3299616,1.0
1,L1,Coinbase,749,0.00028980124045764605
1,L1,ManyInManyOut,57088,0.02208834875199746
1,L1,SingleInFanOut,48946,0.01893806610873157
1,L1,FanIn,119797,0.046351561018831276
1,L1,FanOut,178490,0.06906091242895226
1,L1,OneInOneOut,505982,0.19577331274932
1,L1,OpReturn,987688,0.3821538152004426
1,L1,RBF,314504,0.12168711525886718
1,L1,Unlabelled,371286,0.14365706724239996
1,L2,coinbase,749,0.00028980124045764605
1,L2,P2PKH,89525,0.03463879312679675
1,L2,P2SH,112449,0.04350849090550313
1,L2,P2WPKH,1221160,0.47248822803372376
1,L2,P2WSH,36881,0.014269905940345053
1,L2,P2TR,1058045,0.40937617284380523
1,L2,mixed,65717,0.025427060239192424
1,L2,other,4,1.5476701760087908e-06
1,L3,none,1507239,0.5831772121043285
1,L3,runes,1041406,0.4029382518291527
1,L3,omni,875,0.000338552851001923
1,L3,other_opreturn,35010,0.01354598321551694
1,L4,exchange,8649,0.003346449838075008
1,L4,miner,219,8.473494213648129e-05
1,L4,coinjoin,0,0.0
1,L4,other,9,3.4822578960197793e-06
1,L4,unknown,5,1.9345877200109886e-06
1,L1-rule,ManyInManyOut,57088,0.02208834875199746
1,L1-rule,SingleInFanOut,49001,0.01895934657365169
1,L1-rule,FanIn,126484,0.048938878635573974
1,L1-rule,FanOut,273404,0.10578480420037686
1,L1-rule,OneInOneOut,505982,0.19577331274932
1,all,rows,2584530,1.0
9,L1,Coinbase,0,0.0
9,L1,ManyInManyOut,3,0.012448132780082987
9,L1,SingleInFanOut,4,0.016597510373443983
9,L1,FanIn,21,0.08713692946058091
9,L1,FanOut,16,0.06639004149377593
9,L1,OneInOneOut,61,0.25311203319502074
9,L1,OpReturn,26,0.1078838174273859
9,L1,RBF,41,0.17012448132780084
9,L1,Unlabelled,69,0.2863070539419087
9,L2,coinbase,0,0.0
9,L2,P2PKH,24,0.0995850622406639
9,L2,P2SH,14,0.058091286307053944
9,L2,P2WPKH,145,0.6016597510373444
9,L2,P2WSH,6,0.024896265560165973
9,L2,P2TR,45,0.18672199170124482
9,L2,mixed,7,0.029045643153526972
9,L2,other,0,0.0
9,L3,none,209,0.8672199170124482
9,L3,runes,25,0.1037344398340249
9,L3,omni,0,0.0
9,L3,other_opreturn,7,0.029045643153526972
9,L4,exchange,1,0.004149377593360996
9,L4,miner,0,0.0
9,L4,coinjoin,0,0.0
9,L4,other,0,0.0
9,L4,unknown,0,0.0
9,L1-rule,ManyInManyOut,3,0.012448132780082987
9,L1-rule,SingleInFanOut,4,0.016597510373443983
9,L1-rule,FanIn,22,0.0912863070539419
9,L1-rule,FanOut,21,0.08713692946058091
9,L1-rule,OneInOneOut,61,0.25311203319502074
9,all,rows,241,1.0
