split,opret_prefix,count
0,6a01520b,12307
0,6a4c5058,5202
0,6a4c5000,3570
0,6a015001,2440
0,6a444f55,2103
0,6a146f6d,1243
0,6a24aa21,610
0,6a295253,436
0,6a423d3a,329
0,6a1a6874,327
0,6a4c4e62,278
0,6a3f3d3a,276
0,6a413d3a,275
0,6a3f6262,274
0,6a01520c,226
1,6a5d0414,523849
1,6a5d0714,272310
1,6a5d0614,164044
1,6a5d0814,30463
1,6a5d0914,29290
1,6a133137,3775
1,6a4c5058,2766
1,6a444f55,2205
1,6a5d0b00,1867
1,6a01520d,1847
1,6a5d0a00,1838
1,6a015001,1715
1,6a123137,1694
1,6a5d0c00,1534
1,6a5d0d14,1503
9,6a5d0414,10
9,6a5d0714,10
9,6a4c5048,5
9,6a5d0900,2
9,6a403866,1
9,6a4c5058,1
9,6a5d,1
9,6a5d0614,1
9,6a5d0d00,1
