feature,weight,rank,mi
size,0.4885668333461017,1,1.494359575878552
vsize,0.1727344604609332,2,1.4610869521482606
fee,0.09402473091649828,3,1.0501792495213897
fee_rate_sat_per_byte,0.06107085416826271,4,0.9775095290818787
fee_rate_sat_per_vbyte,0.043698746036547775,5,0.9620590375249152
output_count,0.03324276241514818,6,0.7423950685959486
total_input_value,0.026380129385063754,7,0.6898711806083235
input_output_ratio,0.02159180755761665,8,0.6783539277112993
avg_output_value,0.01809506790170747,9,0.6281332180782235
input_count,0.01544983982589585,10,0.6084920539392211
rbf_enabled,0.013391676621662118,11,0.08734502410225044
has_op_return,0.011753091364562285,12,0.009083157993576792
