variant,k,max_share_fit,max_share_test,fit_seconds,common_silhouette,common_dbi,common_chi,weights
reference,31,0.089092,0.18193133761264138,38.66142439842224,0.21099529266357422,1.79273511778579,39118.61158302634,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
s=0.5,31,0.094207,0.232569171183929,34.528799295425415,0.25686708092689514,1.311989929655305,51467.808515732,input_count=0.0564;output_count=0.0728;vsize=0.1260;total_input_value=0.0630;fee=0.1029;fee_rate_sat_per_vbyte=0.0797;avg_output_value=0.0594;input_output_ratio=0.0674;size=0.1782;fee_rate_sat_per_byte=0.0891;has_op_return=0.0514;rbf_enabled=0.0537
s=1.0,31,0.094222,0.2284310880508255,34.860081911087036,0.23654043972492217,1.4540282568313005,45643.767585607064,input_count=0.0322;output_count=0.0537;vsize=0.1611;total_input_value=0.0403;fee=0.1074;fee_rate_sat_per_vbyte=0.0644;avg_output_value=0.0358;input_output_ratio=0.0460;size=0.3222;fee_rate_sat_per_byte=0.0806;has_op_return=0.0269;rbf_enabled=0.0293
s=2.0,32,0.084254,0.1892405969363869,34.1363091468811,0.16827622950077056,2.103360580422166,32401.30678480671,input_count=0.0064;output_count=0.0177;vsize=0.1597;total_input_value=0.0100;fee=0.0710;fee_rate_sat_per_vbyte=0.0256;avg_output_value=0.0079;input_output_ratio=0.0130;size=0.6390;fee_rate_sat_per_byte=0.0399;has_op_return=0.0044;rbf_enabled=0.0053
s=3.0,33,0.089797,0.20243371135177382,34.7123544216156,0.11859390884637833,2.9495673565743887,21140.105866814887,input_count=0.0008;output_count=0.0039;vsize=0.1043;total_input_value=0.0016;fee=0.0309;fee_rate_sat_per_vbyte=0.0067;avg_output_value=0.0011;input_output_ratio=0.0024;size=0.8341;fee_rate_sat_per_byte=0.0130;has_op_return=0.0005;rbf_enabled=0.0006
K0=10,20,0.088036,0.214964422931829,35.0290949344635,0.19246581494808196,1.6980859109320399,36969.18499923587,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
K0=20,22,0.108224,0.2621880960948412,33.431416749954224,0.2186001181602478,1.478423390340962,49465.066033147195,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
K0=40,40,0.089474,0.14394996382320963,43.16827630996704,0.2321831315755844,1.731180845689255,35525.66589478959,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
K0=60,60,0.083743,0.12315856267870753,61.451361894607544,0.20384583175182341,1.8557703593536885,29008.887906254375,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
cap=0.05,45,0.051257,0.1548200253044074,58.34465289115906,0.1492731660604477,1.9128532256559592,30165.351406457372,input_count=0.0154;output_count=0.0332;vsize=0.1727;total_input_value=0.0216;fee=0.0940;fee_rate_sat_per_vbyte=0.0437;avg_output_value=0.0181;input_output_ratio=0.0264;size=0.4886;fee_rate_sat_per_byte=0.0611;has_op_return=0.0118;rbf_enabled=0.0134
