period,profile,matched_cluster,jaccard,share
Test,0,17,0.20244053649463958,0.01916518670706086
Test,1,3,0.1417916377716135,0.056993728066611724
Test,2,24,0.17758646532019334,0.03884884292308466
Test,3,20,0.13467000061739828,0.04660344433997671
Test,4,0,0.2587601924573199,0.048892061612749706
Test,5,6,0.19134559007076554,0.09687912309007828
Test,6,8,0.1922228152454927,0.06321884443206309
Test,7,4,0.23546435625367257,0.11977690334412833
Test,8,19,0.000696675310601076,0.01875544102796253
Test,9,31,0.27386272067980366,0.009145569987579948
Test,10,1,0.3617771312465537,0.15578693224686888
Test,11,12,0.3734476665801352,0.02880949340885964
Test,12,26,0.027115575289908177,0.01936444924222199
Test,13,21,0.006128690008113337,0.021027033928799434
Test,14,7,0.07259818528490261,0.026196252316668795
Test,15,9,0.06170205288603947,0.028034497568223234
Test,16,11,0.015011636927851048,0.020467164242628254
Test,17,25,0.008615165539337843,0.018100002708422807
Test,18,15,0.0118550232523806,0.0134508014996924
Test,19,13,0.015543845494427916,0.011057329572494806
Test,20,28,0.008728878917478792,0.01537494244601533
Test,21,10,0.3394854786021144,0.02089277354103067
Test,22,2,0.1758047388858071,0.07358784769377798
Test,23,29,0.022366522366522368,0.007245417928985154
Test,24,14,0.0001830384380719951,0.005771649003880783
Test,25,35,0.00013689253935660506,0.0025370183360224102
Test,26,32,0.0262643196423582,0.00461979547538624
Test,27,22,0.2978810257171485,0.003525592660948025
Test,28,18,0.00043626448534423996,0.002602794318502784
Test,29,23,0.0002916680169815601,0.0020761995411157927
Test,30,34,0.05481120584652863,0.0011928667881587755
Prospective,0,18,0.1359027676819139,0.043922521184068336
Prospective,1,14,0.1414900616728607,0.007468125890363057
Prospective,2,34,0.10988482417365997,0.00013039865236986017
Prospective,3,33,0.4667690698100468,0.002923165096496852
Prospective,4,28,0.004400491278003237,0.008531904048853683
Prospective,5,2,0.2582261786438954,0.03411585821427945
Prospective,6,23,0.024724307003239302,0.006096585602611094
Prospective,7,16,0.13311753838298077,0.021621702561471803
Prospective,8,6,0.007939624870862158,0.010384049571618845
Prospective,9,36,0.21699345573072093,3.889949106327121e-05
Prospective,10,1,0.26792594911526685,0.4496672611038868
Prospective,11,29,0.011334411935141715,0.000862904373989869
Prospective,12,10,0.2830939203168298,0.1860194500052644
Prospective,13,7,0.06746162272826772,0.022339638148461922
Prospective,14,20,0.007495827021760661,0.013835732230114342
Prospective,15,17,0.011224387332555076,0.0025136483500206547
Prospective,16,5,0.03454642131247724,0.011916977025809067
Prospective,17,11,0.013567111368850858,0.01871688760280222
Prospective,18,32,0.002199138007377016,0.0007045943962131204
Prospective,19,30,0.005010782277245768,0.0005917123457593684
Prospective,20,9,0.2338992598421753,0.013709350911572604
Prospective,21,13,0.0005826060285964492,0.006899798587346881
Prospective,22,3,0.1264068885482861,0.11147001056736283
Prospective,23,26,0.0037727162879408836,0.007405410740002615
Prospective,24,15,0.0026347228328268374,0.00447522586088177
Prospective,25,27,0.0007677950680762902,0.0029374264851745975
Prospective,26,24,0.009700004511747781,0.0036464831133662906
Prospective,27,19,0.322763980529051,0.002922033830397345
Prospective,28,25,0.0010043931544333217,0.0016986613155190056
Prospective,29,22,0.0003577324806511635,0.0011534013667834093
Prospective,30,31,0.003020107323596198,0.001280181326074486
