target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,max_lift,attained,attained_pct
L2:P2PKH,ZSH,25190,0.04594653458821276,0.4278553703943504,9.314896159920554,21.74938774408154,21.145558060328295,1.7469139739374726,0.9713372580964099,2.0,0.013320796424579742,8.897208250853677,9.713110464663856,21.060457702742887,22.450336961804823,20.501992870517256,21.82554030864031,1.7294255488767356,1.781455851452542,,,,,,,,,,,,,,,,,,21.764427044657737,0.4278553703943504,42.78553703943504
L2:P2PKH,K-means++ (K*),25190,0.045946534588212753,0.10860887876715646,2.3631974737844006,4.039563906746522,3.3993823194601296,1.4109796624011757,0.1562359476525613,7.5,0.07842334952112742,2.194745377290086,2.50463248278154,3.631378539034293,4.383906193402375,3.15191509065686,3.669704762637874,1.1892566832779337,1.704410505047527,-6.951698686136154,-7.316567088463947,-6.601617533772692,0.001998001998001998,-17.70982383733502,-18.553506463351717,-16.980031586927577,0.001998001998001998,-17.746175740868164,-18.45775653324203,-17.03924690121624,0.001998001998001998,-0.33593431153629694,-0.5805169771537599,-0.037386929068277924,0.00999000999000999,0.017982017982017984,21.76442704465774,0.10860887876715646,10.860887876715646
L2:P2PKH,MiniBatchKMeans,25190,0.04594653458821271,0.17807527522345679,3.8758994590579925,8.386807491720873,3.4545492911636044,3.1822413655606194,0.15874717436395858,5.5,0.11910886563616191,3.6524519393470194,4.121033667711761,5.814632448896203,9.047821964761635,3.2748828860529975,3.618636129504399,2.9913258799308116,3.4019638652882795,-5.438996700862562,-5.755663404974263,-5.07386567310331,0.001998001998001998,-13.362580252360669,-16.11017504401704,-12.502822295902986,0.001998001998001998,-17.69100876916469,-18.39084198420753,-17.09231345877151,0.001998001998001998,1.4353273916231468,1.2408615489961887,1.6536982357585808,0.001998001998001998,0.017982017982017984,21.76442704465776,0.17807527522345679,17.80752752234568
L2:P2PKH,GMM (diag),25190,0.04594653458821274,0.13158751625615808,2.8653514820099764,4.339854917078716,3.01279176920447,2.56765020776579,0.13839455983176888,7.5,0.12485459578511204,2.7455980434528207,2.9824276568982233,4.099936657852816,4.586664774800035,2.7494739957019,3.1367255453935097,2.5005544737456082,2.6323008194216198,-6.449544677910578,-6.824213246211072,-6.052662686614949,0.001998001998001998,-17.409532827002828,-18.089401522488423,-16.716087277261384,0.001998001998001998,-18.132766291123826,-18.880024489961162,-17.506089529255625,0.001998001998001998,0.8207362338283173,0.7431305087867042,0.8802683416983756,0.001998001998001998,0.017982017982017984,21.764427044657747,0.13158751625615808,13.158751625615809
L2:P2PKH,BIRCH,25190,0.04594653458821282,0.08615724674174621,1.8759153750695758,3.810718714002228,3.3625576221811144,1.0138538096436918,0.15440675896787115,7.0,0.0765330749667085,1.74594120962543,1.9968674022174653,3.3314762326503966,4.049820652976077,2.2239507709745565,3.555711772666323,1.010380517704965,1.0246768635887915,-7.438980784850978,-7.80670021190759,-7.034283619904414,0.001998001998001998,-17.938669030079314,-18.829954192393117,-17.28679115030694,0.001998001998001998,-17.78300043814718,-19.089496840946733,-17.201238686854975,0.001998001998001998,-0.7330601642937808,-0.7653660763809075,-0.7130332332533111,0.001998001998001998,0.017982017982017984,21.764427044657708,0.08615724674174621,8.615724674174622
L2:P2PKH,Ward (sample + NC),25190,0.045946534588212726,0.15341180286068992,3.3395815003859193,7.945075588788807,3.8826488525058744,1.2390258862302344,0.17835247439150534,6.5,0.08622805486166005,3.1371120583740266,3.5298139727364966,7.464104621989363,9.597857774305394,3.700310469230108,4.441388801197757,1.2232199339582568,1.2526271261901243,-5.975314659534635,-6.301700042900673,-5.6263088338971645,0.001998001998001998,-13.804312155292735,-14.514974854796021,-11.99381684111346,0.001998001998001998,-17.26290920782242,-17.90493625200677,-16.410730332038337,0.001998001998001998,-0.5078880877072383,-0.5395671060686453,-0.4927438833887353,0.02197802197802198,0.017982017982017984,21.764427044657754,0.15341180286068992,15.341180286068992
L2:P2PKH,VKV-partial (K*),25190,0.04594653458821277,0.08448975661170129,1.8397268113531335,1.598194231989603,1.598194231989603,1.598194231989603,0.07343185131631023,8.0,0.5719318736378995,1.7581563276332983,1.9228192564255804,1.5795017246128602,4.384877110471246,1.5763028763099889,1.6221564571774745,1.5763028763099889,1.6221564571774745,-7.47516934856742,-7.867483809297098,-7.067771395452067,0.001998001998001998,-20.15119351209194,-20.731880374398575,-17.39267124226537,0.001998001998001998,-19.547363828338693,-20.225427804950275,-18.91621801970036,0.001998001998001998,-0.14871974194786963,-0.19140371514094345,-0.12178295619803674,0.001998001998001998,0.017982017982017984,21.764427044657737,0.08448975661170129,8.44897566117013
L2:P2SH,ZSH,16956,0.03158440318087923,0.10784480508163091,3.4122162256091384,8.394564135083744,5.036622213014866,1.394230474391342,0.1591597900556075,5.5,0.05054451199393885,3.1842296715507854,3.6265151549141743,7.570350479613711,9.09329015206224,4.316171513940315,5.3727222876240415,1.3766284709469394,2.217746877675365,,,,,,,,,,,,,,,,,,31.66119664421541,0.10784480508163091,10.78448050816309
L2:P2SH,K-means++ (K*),16956,0.031584403180879246,0.07150895732399723,2.263157070330699,4.291080819385318,3.187017703766924,1.7203997494390388,0.1008369215044464,8.5,0.08774418189560675,2.152972568836103,2.362177684765193,3.856467607435318,4.57195319486744,2.9362293238508994,3.4478813902081593,1.6780040375503493,1.796054262233436,-1.1490591552784393,-1.3664258463168264,-0.952324847916775,0.001998001998001998,-4.103483315698426,-4.9642366312278465,-3.200687535586209,0.001998001998001998,-1.8496045092479418,-2.1939445360060033,-1.138131401138179,0.001998001998001998,0.32616927504769677,-0.1503045427095923,0.3999392568009635,0.06593406593406594,0.017982017982017984,31.661196644215394,0.07150895732399723,7.150895732399723
L2:P2SH,MiniBatchKMeans,16956,0.031584403180879204,0.08197708994868463,2.594987704224997,4.925937575741203,3.094204365289258,2.4812959640980754,0.09791999752294986,8.0,0.08894362460628218,2.4757901925881995,2.729853760010711,4.5084402512544735,5.308577460504433,2.587047403736,3.3357489241006424,2.148054606552955,2.559908260613737,-0.8172285213841413,-1.0355787484130337,-0.6008145423025651,0.001998001998001998,-3.4686265593425407,-4.29856716058148,-2.53780243080551,0.001998001998001998,-1.9424178477256078,-2.4268650122181317,-1.2993801588083485,0.001998001998001998,1.0870654897067333,0.30056153323497997,1.1543030312408178,0.003996003996003996,0.017982017982017984,31.661196644215437,0.08197708994868463,8.197708994868464
