period,method,profile,matched_to,jaccard,share
test,ZSH,0,15,0.2209505504106238,0.01916518670706086
test,ZSH,1,0,0.15366800354313273,0.056993728066611724
test,ZSH,2,24,0.17444401714612665,0.03884884292308466
test,ZSH,3,19,0.13412741105048798,0.04660344433997671
test,ZSH,4,2,0.2542358704743697,0.048892061612749706
test,ZSH,5,4,0.21111418286701228,0.09687912309007828
test,ZSH,6,1,0.12118679219195817,0.06321884443206309
test,ZSH,7,5,0.2305319969159599,0.11977690334412833
test,ZSH,8,18,0.0007646167029200448,0.01875544102796253
test,ZSH,9,31,0.27252691668473156,0.009145569987579948
test,ZSH,10,7,0.2686045824564912,0.15578693224686888
test,ZSH,11,3,0.1323438547024167,0.02880949340885964
test,ZSH,12,12,0.07705885560068697,0.01936444924222199
test,ZSH,13,23,0.0067155763358295005,0.021027033928799434
test,ZSH,14,11,0.017681453352895487,0.026196252316668795
test,ZSH,15,30,0.025655955456894357,0.028034497568223234
test,ZSH,16,10,0.013909135432571808,0.020467164242628254
test,ZSH,17,21,0.012205839273508446,0.018100002708422807
test,ZSH,18,13,0.01760983027164756,0.0134508014996924
test,ZSH,19,14,0.011428484470348332,0.011057329572494806
test,ZSH,20,28,0.008283306909881183,0.01537494244601533
test,ZSH,21,9,0.3480783123298867,0.02089277354103067
test,ZSH,22,6,0.2036136038317551,0.07358784769377798
test,ZSH,23,29,0.02050505949731446,0.007245417928985154
test,ZSH,24,16,0.0001874492324995314,0.005771649003880783
test,ZSH,25,36,0.00013689253935660506,0.0025370183360224102
test,ZSH,26,33,0.02381584184688868,0.00461979547538624
test,ZSH,27,22,0.29927362587988615,0.003525592660948025
test,ZSH,28,20,0.0006152520995477897,0.002602794318502784
test,ZSH,29,25,0.0004195070791819612,0.0020761995411157927
test,ZSH,30,35,0.05436189490033653,0.0011928667881587755
test,K-means++ (K*),0,13,0.2887827250143321,0.033468754473734104
test,K-means++ (K*),1,14,0.22912030717255394,0.061127942024275204
test,K-means++ (K*),2,17,0.3317235621169282,0.039944980325242886
test,K-means++ (K*),3,4,0.07248667621885116,0.043479472089702965
test,K-means++ (K*),4,1,0.554008019879647,0.2026217532781589
test,K-means++ (K*),5,2,0.28302084070102496,0.04782494302639165
test,K-means++ (K*),6,5,0.3741355660157206,0.03517003091471176
test,K-means++ (K*),7,3,0.19993009889711594,0.03233315148208765
test,K-means++ (K*),8,25,0.0,0.04735058211744495
test,K-means++ (K*),9,6,0.37788379088347784,0.021487078888618047
test,K-means++ (K*),10,0,0.6261463873652857,0.2035925293960604
test,K-means++ (K*),11,23,0.4373726335686228,0.012144954788684983
test,K-means++ (K*),12,15,0.007200769851892,0.020222632354818866
test,K-means++ (K*),13,7,0.37745792254480093,0.029099681566861286
test,K-means++ (K*),14,8,0.4663278503379055,0.022748816999609213
test,K-means++ (K*),15,11,0.04700529527773033,0.025323366337399837
test,K-means++ (K*),16,22,0.0,0.017184168881769605
test,K-means++ (K*),17,21,0.0,0.020443949189988122
test,K-means++ (K*),18,19,0.004911875180583647,0.012149984716757012
test,K-means++ (K*),19,18,0.00018880230682091244,0.008754009433049723
test,K-means++ (K*),20,9,0.47541411552517915,0.01840373298046453
test,K-means++ (K*),21,10,0.2937085866520937,0.009645854371974788
test,K-means++ (K*),22,28,0.0,0.010462250389819426
test,K-means++ (K*),23,16,0.0013604600828643868,0.004277760366488297
test,K-means++ (K*),24,20,0.44132616487455195,0.004976533450956267
test,K-means++ (K*),25,24,0.7510886605121059,0.0033557358591310604
test,K-means++ (K*),26,27,0.14315627066343398,0.005171926810677376
test,K-means++ (K*),27,26,0.5699278438030561,0.0022147160218685797
test,K-means++ (K*),28,12,0.0002456474345196057,0.003239273678386399
test,K-means++ (K*),29,29,0.32014507088691063,0.0009162207441972041
test,K-means++ (K*),30,30,0.0005648121999435188,0.0008632130406689031
test,MiniBatchKMeans,0,6,0.6275337609266326,0.013036412810066046
test,MiniBatchKMeans,1,28,0.00045036202177904547,0.01580790317775379
test,MiniBatchKMeans,2,30,0.0011897901135877749,0.0062970830286357676
test,MiniBatchKMeans,3,8,0.29987380605295794,0.03293093908757105
test,MiniBatchKMeans,4,7,0.4269869726305725,0.007180415781592785
test,MiniBatchKMeans,5,23,0.3818095106229135,0.019576480056335194
test,MiniBatchKMeans,6,1,0.2945763695348285,0.04192251589263812
test,MiniBatchKMeans,7,29,0.6513816730667872,0.0033557358591310604
test,MiniBatchKMeans,8,21,0.5172881969587255,0.021826792492251976
test,MiniBatchKMeans,9,5,0.17658864659420676,0.030233349970787724
test,MiniBatchKMeans,10,13,0.5256867185192479,0.027383315341667536
test,MiniBatchKMeans,11,19,0.31900279827016026,0.026566145488734896
test,MiniBatchKMeans,12,2,0.004329125237403642,0.012855335399473018
test,MiniBatchKMeans,13,10,0.21789680031983905,0.05912835215687185
test,MiniBatchKMeans,14,20,0.46110040301384264,0.002155130720092241
test,MiniBatchKMeans,15,11,0.2115770369662814,0.04168688310834078
test,MiniBatchKMeans,16,3,0.07215205702138301,0.04728132387706856
test,MiniBatchKMeans,17,17,0.44992255445765184,0.1425547391595377
test,MiniBatchKMeans,18,14,0.0,0.0008852673406770283
test,MiniBatchKMeans,19,12,0.003398148229873695,0.030501870746325252
test,MiniBatchKMeans,20,27,0.35424237180596413,0.020873814581374564
