target,positives_dev,positives_test,transfer_seconds,inperiod_seconds
L2:coinbase,1226,749,3.3368518352508545,3.373077154159546
L2:P2PKH,284651,89525,4.473351716995239,10.616621017456055
L2:P2SH,245420,112449,8.888335943222046,13.137405633926392
L2:P2WPKH,1398115,1221160,9.545505285263062,14.10015344619751
L2:P2WSH,120814,36881,7.2422776222229,5.495342969894409
L2:P2TR,1184699,1058045,9.343359231948853,14.42973017692566
L2:mixed,64690,65717,7.545871734619141,11.869434595108032
L3:omni,1252,875,1.0633931159973145,1.7593865394592285
L3:other_opreturn,40989,35010,3.8940036296844482,4.703368902206421
L4:exchange,25038,8649,1.9529938697814941,1.8738136291503906
L4:miner,1049,219,0.9720413684844971,1.795661449432373
