target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,attained,max_lift
L2:coinbase,profiles (ZSH),749,0.00028980522770402964,0.006485036507997328,22.383111647815333,32.3558599360936,32.3558599360936,32.3558599360936,0.009374626887082727,1.0,0.019365097873158252,20.253945726710988,24.716738957981843,30.392321863051226,34.39332564202615,30.392321863051226,34.39332564202615,30.392321863051226,34.39332564202615,,,,,,,,,,,,,,,,,,0.006485036507997328,3450.5933792929136
L2:coinbase,shared bound,749,0.00028980522770402964,0.8886053961797349,3069.243579377965,3428.466054400426,3428.466054400426,3428.466054400426,0.9934640522875817,1.0,0.000260357224064301,2856.721412713544,3315.744431548082,3201.0870112889716,3691.170419334849,3201.0870112889716,3691.170419334849,3201.0870112889716,3691.170419334849,3046.8604677301496,2831.5873898301556,3292.3574494674667,0.001998001998001998,3396.1101944643324,3167.0452401831094,3658.9408773514638,0.001998001998001998,3396.1101944643324,3167.0452401831094,3658.9408773514638,0.001998001998001998,3396.1101944643324,3167.0452401831094,3658.9408773514638,0.001998001998001998,0.001998001998001998,0.8886053961797349,3450.5933792929136
L2:coinbase,single bound,749,0.00028980522770402964,0.49692053682454285,1700.6342409041515,1700.6342409041515,1700.6342409041515,1700.6342409041515,0.49692053682454285,1.0,0.03325913976068298,1547.722758820883,1891.8735663172504,1547.722758820883,1891.8735663172504,1547.722758820883,1891.8735663172504,1547.722758820883,1891.8735663172504,1678.251129256336,1525.3045140512986,1870.0495712843767,0.001998001998001998,1668.278380968058,1515.2187343825015,1859.9811395440606,0.001998001998001998,1668.278380968058,1515.2187343825015,1859.9811395440606,0.001998001998001998,1668.278380968058,1515.2187343825015,1859.9811395440606,0.001998001998001998,0.001998001998001998,0.49692053682454285,3450.5933792929136
L2:P2PKH,profiles (ZSH),89525,0.0346388333400625,0.8086656379898978,23.34565606660712,28.850883195523522,28.850883195523522,28.850883195523522,0.9993604563085202,1.0,0.018755529298285473,23.081562770142277,23.586405146337952,28.525665945360366,29.147352234015013,28.525665945360366,29.147352234015013,28.525665945360366,29.147352234015013,,,,,,,,,,,,,,,,,,0.8086656379898978,28.869332583537748
L2:P2PKH,shared bound,89525,0.0346388333400625,0.9930149166875644,28.667671851914754,28.74764422118937,28.74764422118937,28.74764422118937,0.995784869694091,1.5,0.03259654986858148,28.351531667069423,28.962818389177713,28.427771297451542,29.04647360868044,28.427771297451542,29.04647360868044,28.427771297451542,29.04647360868044,5.322015785307634,5.220287694521305,5.43781540845886,0.001998001998001998,-0.10323897433415397,-0.1159488238593263,-0.08949701545388314,0.001998001998001998,-0.10323897433415397,-0.1159488238593263,-0.08949701545388314,0.001998001998001998,-0.10323897433415397,-0.1159488238593263,-0.08949701545388314,0.001998001998001998,0.001998001998001998,0.9930149166875644,28.869332583537748
L2:P2PKH,single bound,89525,0.0346388333400625,0.967523502181207,27.931538922243753,28.85613878641808,28.85613878641808,28.85613878641808,0.9995425933542039,1.0,0.03225875668322901,27.626236609029252,28.218791580877873,28.53394384963447,29.154672448495415,28.53394384963447,29.154672448495415,28.53394384963447,29.154672448495415,4.585882855636633,4.4944975012690405,4.690378643882226,0.001998001998001998,0.005255590894556406,-0.002082247309064208,0.01265946613293254,0.15984015984015984,0.005255590894556406,-0.002082247309064208,0.01265946613293254,0.15984015984015984,0.005255590894556406,-0.002082247309064208,0.01265946613293254,0.15984015984015984,0.001998001998001998,0.967523502181207,28.869332583537748
L2:P2SH,profiles (ZSH),112449,0.04350862564592215,0.2360457038125601,5.42531968556861,9.52484206870022,8.309911778608395,4.763459821978967,0.3615163602964289,2.0,0.03405622478460767,5.357476785929929,5.492308756514779,9.394524486414168,9.647894015657593,7.923798206035166,9.63650534002808,4.396713861576028,4.809911922202278,,,,,,,,,,,,,,,,,,0.2360457038125601,22.983948243690964
L2:P2SH,shared bound,112449,0.04350862564592215,0.9661466186133907,22.205949485429556,22.758206143511487,22.758206143511487,22.758206143511487,0.9901745971795575,1.0,0.035836550502566705,21.98151402948434,22.429600105882525,22.531179610092547,22.98982628272494,22.531179610092547,22.98982628272494,22.531179610092547,22.98982628272494,16.780629799860947,16.57821396998664,16.966305852804087,0.001998001998001998,13.233364074811266,13.03368429130085,13.426936367711631,0.001998001998001998,14.448294364903091,13.061536520298937,14.760532274873903,0.001998001998001998,17.99474632153252,17.81207350360876,18.43248095097835,0.001998001998001998,0.001998001998001998,0.9661466186133907,22.983948243690964
L2:P2SH,single bound,112449,0.04350862564592215,0.9082497869841746,20.875422960183997,22.85362357450273,22.85362357450273,22.85362357450273,0.9943247691666061,1.0,0.032259582013165526,20.67405628432856,21.07973065605602,22.625122540938115,23.083257630204635,22.625122540938115,23.083257630204635,22.625122540938115,23.083257630204635,15.450103274615387,15.266845596623998,15.62704466770072,0.001998001998001998,13.32878150580251,13.1242309802831,13.524254812539764,0.001998001998001998,14.543711795894335,13.1599161339458,14.854559475460139,0.001998001998001998,18.090163752523765,17.913335261997393,18.531826880041752,0.001998001998001998,0.001998001998001998,0.9082497869841746,22.983948243690964
L2:P2WPKH,profiles (ZSH),1221160,0.47248690449713404,0.8342547396443363,1.7656643992389554,1.9575180782125585,1.9575180782125585,1.8828366764507485,0.9249030586526084,1.0,0.1557847595946603,1.7580317682594642,1.7729180487930396,1.9466100077564716,1.9681779958719845,1.9466100077564716,1.9681779958719845,1.8729809415772358,1.8924588256836872,,,,,,,,,,,,,,,,,,0.8342547396443363,2.1164607748532123
