target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
L2:coinbase,A1,749,0.00028980522770402964,0.006485036507997328,22.383111647815333,32.3558599360936,32.3558599360936,32.3558599360936,0.009374626887082727,1.0,0.019365097873158252,20.414374018249905,24.354784849578607,30.47058738518019,34.15519086762954,30.47058738518019,34.15519086762954,30.47058738518019,34.15519086762954,0.19872040070989527,0.17222823290186717,0.2263626047010173,0.001998001998001998,-0.021274854089647022,-0.02948254664104457,-0.013618484872194792,0.001998001998001998,-0.021274854089647022,-0.02948254664104457,-0.013618484872194792,0.001998001998001998,-0.021274854089647022,-0.02948254664104457,-0.013618484872194792,0.001998001998001998,0.021978021978021976
L2:coinbase,A3,749,0.00028980522770402964,0.006427425106331124,22.184391247105438,32.37713479018325,32.37713479018325,32.37713479018325,0.009380794683088261,1.0,0.019352327641625637,20.19023910052953,24.17735244751568,30.491149360085565,34.17811458516911,30.491149360085565,34.17811458516911,30.491149360085565,34.17811458516911,,,,,,,,,,,,,,,,,
L2:P2PKH,A1,89525,0.0346388333400625,0.8086656379898978,23.34565606660712,28.850883195523522,28.850883195523522,28.850883195523522,0.9993604563085202,1.0,0.018755529298285473,23.099661978754554,23.571960158865956,28.54881021989221,29.165893545905462,28.54881021989221,29.165893545905462,28.54881021989221,29.165893545905462,0.0497504204425141,0.04066334246536023,0.05919583728960402,0.001998001998001998,-1.0399365194757593e-05,-1.6881190926554263e-05,-5.663359463614626e-06,0.001998001998001998,-1.0399365194757593e-05,-1.6881190926554263e-05,-5.663359463614626e-06,0.001998001998001998,-1.0399365194757593e-05,-1.6881190926554263e-05,-5.663359463614626e-06,0.001998001998001998,0.021978021978021976
L2:P2PKH,A3,89525,0.0346388333400625,0.8069424253655706,23.295905646164606,28.850893594888717,28.850893594888717,28.850893594888717,0.9993608164382037,1.0,0.018765970347302704,23.051385410386313,23.522479228728795,28.54881824178889,29.165908601399916,28.54881824178889,29.165908601399916,28.54881824178889,29.165908601399916,,,,,,,,,,,,,,,,,
L2:P2SH,A1,112449,0.04350862564592215,0.2360457038125601,5.42531968556861,9.52484206870022,8.309911778608395,4.763459821978967,0.3615163602964289,2.0,0.03405622478460767,5.3565564014191205,5.494604187879821,9.397965105311636,9.649651017380373,7.899552131253629,9.634164816970731,4.397534284157016,4.808965631114966,-0.05342251122121855,-0.06956645801974284,-0.040899520493226336,0.001998001998001998,-0.05770977819319256,-0.08437486249990456,-0.035034806873077834,0.001998001998001998,-1.2726400682850176,-1.6499385030968052,-0.03787481181938253,0.00999000999000999,-0.054017152533224255,-0.3972723821431024,0.0046426114288989654,0.07792207792207792,0.021978021978021976
L2:P2SH,A3,112449,0.04350862564592215,0.23837022449490808,5.478742196789828,9.582551846893413,9.582551846893413,4.817476974512191,0.41691883136229557,1.0,0.026656978772522776,5.408334368209194,5.548086682370547,9.45937520579176,9.705119452222505,8.816996105616987,9.705119452222505,4.600412216146554,4.867450120928165,,,,,,,,,,,,,,,,,
L2:P2WPKH,A1,1221160,0.47248690449713404,0.8342547396443363,1.7656643992389554,1.9575180782125585,1.9575180782125585,1.8828366764507485,0.9249030586526084,1.0,0.1557847595946603,1.7580493250004028,1.7729465612041726,1.9464335657666123,1.9682612772325732,1.9464335657666123,1.9682612772325732,1.8727687104169097,1.8918651109315514,0.0022497568514867616,0.0016567646121244174,0.0028421561463729426,0.001998001998001998,0.0015934829513213344,0.00024176629672147988,0.002943307766418246,0.023976023976023976,0.0015934829513213344,0.00024176629672147988,0.002943307766418246,0.023976023976023976,-0.008407563885565406,-0.009146735284287472,-0.007669349675079961,0.001998001998001998,0.021978021978021976
L2:P2WPKH,A3,1221160,0.47248690449713404,0.8331919221031971,1.7634146423874686,1.9559245952612372,1.9559245952612372,1.8912442403363139,0.9241502419486982,1.0,0.17534912519823298,1.7558251941325675,1.770597786345764,1.9450780161667465,1.966741142993448,1.9450780161667465,1.966741142993448,1.8809708007125037,1.9003882892664334,,,,,,,,,,,,,,,,,
L2:P2WSH,A1,36881,0.014270074657317666,0.10376907917065564,7.272260666511544,9.372683892701428,7.997496721500544,7.997496721500544,0.11412302646855818,2.0,0.06825720408531094,7.152920243103995,7.384627340949076,9.126847611680102,9.611432960515712,7.901483984674645,8.210737799058371,7.82704418173699,8.101202405413352,-0.0006904563182326129,-0.0031451464037915984,0.0070186490286012525,0.5954045954045954,0.0034691916610913864,-0.0026135867838169343,0.010755962656971629,0.3016983016983017,-0.00020180914342660117,-0.0026724680368590092,0.004537581478820343,0.8851148851148851,-0.00020180914342660117,-0.001961092087935734,0.0015316971560453746,0.5734265734265734,0.6953046953046953
L2:P2WSH,A3,36881,0.014270074657317666,0.10377849624555338,7.2729511228297765,9.369214701040336,7.99769853064397,7.99769853064397,0.11412581320501147,2.0,0.06823862815704787,7.148522080003204,7.382802942676867,9.123750176488546,9.606211763110439,7.901583808168478,8.210575353708192,7.8279302427807,8.10160517408284,,,,,,,,,,,,,,,,,
