target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
L1:ManyInManyOut,A1,57088,0.022088417993028693,0.4910252699534854,22.230126219795352,26.912633456897886,23.71242657405333,23.71242657405333,0.5237652567480291,3.0,0.025571909434951492,21.937702981565337,22.479935675671584,24.7754498121832,27.37564315466646,23.437847927759574,23.984691998024648,23.437847927759574,23.984691998024648,0.20508368578100544,0.17296761059555782,0.3284017939012428,0.001998001998001998,0.1681920392803704,0.10772250278368062,2.0959128492012065,0.001998001998001998,0.14698548891658447,0.11640836035011555,0.18902199041661863,0.001998001998001998,0.14698548891658447,0.11640836035011555,0.18902199041661863,0.001998001998001998,0.00999000999000999
L1:ManyInManyOut,A3,57088,0.022088417993028693,0.4864957449798579,22.025042534014347,26.744441417617516,23.565441085136747,23.565441085136747,0.5205189626051825,3.0,0.025384263502536808,21.72109212619864,22.245147954293966,23.62199151452615,27.210407365657673,23.294444594254777,23.833275436248236,23.294444594254777,23.833275436248236,,,,,,,,,,,,,,,,,
L1:SingleInFanOut,A1,49001,0.018959430925848286,0.41015348938669455,21.63347050152536,29.727149150371666,22.120230033615837,22.120230033615837,0.41938591229159716,2.0,0.02666451258680086,21.37499222753138,21.892617996736337,29.23746215510598,30.245669981950826,21.84596021983206,22.38668080870173,21.84596021983206,22.38668080870173,-0.34892353965438616,-0.38313984263057527,-0.3208200688925154,0.001998001998001998,-1.0191481437327639,-1.116161411188292,-0.924779837397181,0.001998001998001998,-0.2805076511563662,-0.30095796967353294,-0.25975571426154787,0.001998001998001998,-0.2805076511563662,-0.30095796967353294,-0.25975571426154787,0.001998001998001998,0.00999000999000999
L1:SingleInFanOut,A3,49001,0.018959430925848286,0.4167685118691934,21.982394041179745,30.74629729410443,22.400737684772203,22.400737684772203,0.42470400155342947,2.0,0.026343379098102023,21.721872276895,22.250071001542036,30.2416884152615,31.276198339409312,22.119055891775314,22.676889635413488,22.119055891775314,22.676889635413488,,,,,,,,,,,,,,,,,
L1:FanIn,A1,126484,0.04893881277374746,0.698249476360377,14.267838266763972,17.44457390329452,15.652836278508317,13.740464259798582,0.7660290056468384,5.0,0.019120554164815867,14.113817525961268,14.407316408885716,17.241102213810343,17.645951777929778,15.467712416838193,15.865028931013292,13.632081100641246,14.26624593900473,0.09171416518943865,0.05748385350792478,0.11916123062919905,0.001998001998001998,0.4391161397978749,0.36966122200017015,0.5179179060863311,0.001998001998001998,0.06102593935131573,0.040707195318937836,0.13900767632164035,0.001998001998001998,-0.3984459410458463,-0.41773419505236986,0.059619939475048685,0.6813186813186813,0.00999000999000999
L1:FanIn,A3,126484,0.04893881277374746,0.6937610430548693,14.176124101574533,17.005457763496644,15.591810339157002,14.138910200844428,0.7630422459106221,5.0,0.0189484386728086,14.032201416140124,14.314994875979608,16.811793039909595,17.208271885124322,15.388054727295811,15.778522901051963,13.716766390119457,14.2813957342805,,,,,,,,,,,,,,,,,
L1:FanOut,A1,273404,0.10578528599845397,0.7137404777696648,6.747114173968752,9.125983486527371,9.087410548191631,7.049050398216635,0.9613084193812251,3.0,0.028740762542044877,6.685869745443399,6.806496890910079,9.04114443701043,9.21309719111656,9.002134666877527,9.174760960511456,6.987288532537076,7.111868027676812,-0.008935301955256492,-0.013418593033016535,-0.000702316830733008,0.03596403596403597,-0.016796936231864734,-0.023982852420989565,-0.004893769330665745,0.001998001998001998,-0.05536987456760478,-0.06104115455019499,-0.04958403588850859,0.001998001998001998,0.010033068472410811,0.007065277849562191,0.013195990862370598,0.001998001998001998,0.07192807192807193
L1:FanOut,A3,273404,0.10578528599845397,0.7146857196603256,6.756049475924009,9.142780422759236,9.142780422759236,7.039017329744224,0.9671651916831342,3.0,0.02837591300471852,6.691856338612879,6.812755273156949,9.054351453856128,9.2279400283238,9.057160561331388,9.230772860873055,6.977071053061902,7.100926375454542,,,,,,,,,,,,,,,,,
L1:OneInOneOut,A1,505982,0.1957754234986831,0.8189522557411129,4.183253970267735,5.071508719573422,5.0488592598561715,5.02325328776066,0.9883996234449608,2.0,0.06576958469006923,4.146368397437289,4.21777504874034,5.00550269193251,5.133877218384485,4.981014570169369,5.106383219591336,4.959914984172758,5.083481760212488,-9.221383807300754e-05,-0.0005240100353103293,0.00048079533133789067,0.8071928071928072,-5.213521340685645e-05,-0.00014323064788868134,-4.37134904249792e-06,0.001998001998001998,9.413611441022596e-05,-0.00011174376319709182,0.0002788303690973048,0.5734265734265734,1.5770737350706554e-05,-9.260187504875893e-05,0.00013830049633514193,0.7812187812187812,0.8071928071928072
L1:OneInOneOut,A3,505982,0.1957754234986831,0.8189699728491365,4.183346184105808,5.071560854786829,5.048765123741761,5.0232375170233095,0.9883810432926471,2.0,0.06579667027056338,4.146469349499199,4.217630388098376,5.005558513083648,5.13388922166325,4.981024317113323,5.106249082123545,4.959906201527327,5.083423649879116,,,,,,,,,,,,,,,,,
