target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm
L2:coinbase,A2,749,0.00028980522770402964,0.0035227629678560943,12.152775913399095,21.99474758211599,21.99474758211599,4.565713597316931,0.006374741890035347,1.0,0.019780645892715158,10.697921953084904,13.511395063759018,20.01692741085761,23.723143716772686,20.01692741085761,23.723143716772686,4.477428734907021,4.69242709064672,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:coinbase,A5,749,0.00028980522770402964,0.0035227629678560943,12.152775913399095,21.99474758211599,21.99474758211599,4.565713597316931,0.006374741890035347,1.0,0.019780645892715158,10.697921953084904,13.511395063759018,20.01692741085761,23.723143716772686,20.01692741085761,23.723143716772686,4.477428734907021,4.69242709064672,,,,,,,,,,,,,,,,,
L2:P2PKH,A2,89525,0.0346388333400625,0.6001529268168484,17.32604779338115,26.980778248663555,26.980778248663555,13.81208740058651,0.9345801080584195,1.0,0.016550584392794637,17.130957789428454,17.518864830907816,26.69612890098023,27.28742064903952,26.69612890098023,27.28742064903952,13.688208754864279,19.53453282983704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:P2PKH,A5,89525,0.0346388333400625,0.6001529268168484,17.32604779338115,26.980778248663555,26.980778248663555,13.81208740058651,0.9345801080584195,1.0,0.016550584392794637,17.130957789428454,17.518864830907816,26.69612890098023,27.28742064903952,26.69612890098023,27.28742064903952,13.688208754864279,19.53453282983704,,,,,,,,,,,,,,,,,
L2:P2SH,A2,112449,0.04350862564592215,0.11157606965153555,2.5644719481820295,3.890969895059227,3.1915175207532958,2.352723881585967,0.13885812137409187,7.0,0.08796198122173025,2.5310442810324125,2.5964621612518686,3.7959065156538556,3.9929250462169223,3.1532708970187886,3.2341168033993286,2.329650704853195,2.3760617256920558,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:P2SH,A5,112449,0.04350862564592215,0.11157606965153555,2.5644719481820295,3.890969895059227,3.1915175207532958,2.352723881585967,0.13885812137409187,7.0,0.08796198122173025,2.5310442810324125,2.5964621612518686,3.7959065156538556,3.9929250462169223,3.1532708970187886,3.2341168033993286,2.329650704853195,2.3760617256920558,,,,,,,,,,,,,,,,,
L2:P2WPKH,A2,1221160,0.47248690449713404,0.697850004473574,1.4769753195758466,1.7117678549621271,1.588014254055494,1.5469438903189148,0.7503148998418783,4.0,0.276422401597363,1.4698120535625425,1.4834430689908094,1.7003729601655957,1.7222101193274084,1.5780004702925852,1.5980965107250662,1.499206436601347,1.5544845982119402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:P2WPKH,A5,1221160,0.47248690449713404,0.697850004473574,1.4769753195758466,1.7117678549621271,1.588014254055494,1.5469438903189148,0.7503148998418783,4.0,0.276422401597363,1.4698120535625425,1.4834430689908094,1.7003729601655957,1.7222101193274084,1.5780004702925852,1.5980965107250662,1.499206436601347,1.5544845982119402,,,,,,,,,,,,,,,,,
L2:P2WSH,A2,36881,0.014270074657317666,0.10009220858337414,7.013797539471423,9.381219686124236,9.381219686124236,7.7248234845149355,0.13388050310868993,1.0,0.034138452342917465,6.881065346612044,7.136419528291435,9.208098752320755,9.55482519949915,9.208098752320755,9.55482519949915,7.310932339783823,7.839942514284375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:P2WSH,A5,36881,0.014270074657317666,0.10009220858337414,7.013797539471423,9.381219686124236,9.381219686124236,7.7248234845149355,0.13388050310868993,1.0,0.034138452342917465,6.881065346612044,7.136419528291435,9.208098752320755,9.55482519949915,9.208098752320755,9.55482519949915,7.310932339783823,7.839942514284375,,,,,,,,,,,,,,,,,
L2:P2TR,A2,1058045,0.40937683192640095,0.7267322974184438,1.7752134301628748,2.3637335254704928,2.296512129516918,1.7868031123131087,0.9401393337612932,5.0,0.11414922401674013,1.7651369519613929,1.785928090471457,2.34598247911235,2.3831422103148436,2.2793335941328396,2.314118918675747,1.7764329627618534,1.798648606644295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:P2TR,A5,1058045,0.40937683192640095,0.7267322974184438,1.7752134301628748,2.3637335254704928,2.296512129516918,1.7868031123131087,0.9401393337612932,5.0,0.11414922401674013,1.7651369519613929,1.785928090471457,2.34598247911235,2.3831422103148436,2.2793335941328396,2.314118918675747,1.7764329627618534,1.798648606644295,,,,,,,,,,,,,,,,,
L2:mixed,A2,65717,0.0254273770310582,0.29060124779108987,11.428660769547886,15.027730444851764,15.027730444851764,10.491400279589568,0.3821154390192392,2.0,0.02841404854676492,11.272691602959268,11.593328955100223,14.841267827297761,15.215215225678909,14.841267827297761,15.215215225678909,9.980696751207045,11.54109849411466,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L2:mixed,A5,65717,0.0254273770310582,0.29060124779108987,11.428660769547886,15.027730444851764,15.027730444851764,10.491400279589568,0.3821154390192392,2.0,0.02841404854676492,11.272691602959268,11.593328955100223,14.841267827297761,15.215215225678909,14.841267827297761,15.215215225678909,9.980696751207045,11.54109849411466,,,,,,,,,,,,,,,,,
L3:runes,A2,1041406,0.40293337219818315,0.7864628113097107,1.951890917066938,2.1506425010014514,2.1506425010014514,1.9176642567748394,0.8665410011475523,1.0,0.1992498319129538,1.9358036502798612,1.9686015033335866,2.128899532360967,2.1729045146167105,2.128899532360967,2.1729045146167105,1.9029312488617511,1.9323702555378355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L3:runes,A5,1041406,0.40293337219818315,0.7864628113097107,1.951890917066938,2.1506425010014514,2.1506425010014514,1.9176642567748394,0.8665410011475523,1.0,0.1992498319129538,1.9358036502798612,1.9686015033335866,2.128899532360967,2.1729045146167105,2.128899532360967,2.1729045146167105,1.9029312488617511,1.9323702555378355,,,,,,,,,,,,,,,,,
L3:omni,A2,875,0.0003386093892359541,0.005600431416828488,16.569908161562843,22.259319052720215,22.259319052720215,22.259319052720215,0.007530416577154432,1.0,0.02528578673432523,14.398779073212548,18.722096363506054,20.068504530431383,24.307466634876018,20.068504530431383,24.307466634876018,17.97487438681241,24.307466634876018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L3:omni,A5,875,0.0003386093892359541,0.005600431416828488,16.569908161562843,22.259319052720215,22.259319052720215,22.259319052720215,0.007530416577154432,1.0,0.02528578673432523,14.398779073212548,18.722096363506054,20.068504530431383,24.307466634876018,20.068504530431383,24.307466634876018,17.97487438681241,24.307466634876018,,,,,,,,,,,,,,,,,
L3:other_opreturn,A2,35010,0.013546251596113144,0.06645401814283367,4.905943953423793,9.080319182401206,7.723394981521464,5.2101930822245155,0.10462335387147932,2.0,0.03962844082260489,4.55127879565913,5.233815976077269,7.263492388189803,10.161039418313969,7.327012190400145,8.12241893847287,4.4777030526015,5.355993644938516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L3:other_opreturn,A5,35010,0.013546251596113144,0.06645401814283367,4.905943953423793,9.080319182401206,7.723394981521464,5.2101930822245155,0.10462335387147932,2.0,0.03962844082260489,4.55127879565913,5.233815976077269,7.263492388189803,10.161039418313969,7.327012190400145,8.12241893847287,4.4777030526015,5.355993644938516,,,,,,,,,,,,,,,,,
L4:exchange,A2,8649,0.0033463880164738813,0.08048721072953294,24.060863943420557,47.577162252790814,37.248970507672624,17.992717310650875,0.12460687663890484,2.0,0.008981763458511387,23.156585622250674,25.007825671022477,45.21014179933766,49.8859685734747,36.00882039707767,38.37340505484838,17.668058068330232,18.331684150686915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
L4:exchange,A5,8649,0.0033463880164738813,0.08048721072953294,24.060863943420557,47.577162252790814,37.248970507672624,17.992717310650875,0.12460687663890484,2.0,0.008981763458511387,23.156585622250674,25.007825671022477,45.21014179933766,49.8859685734747,36.00882039707767,38.37340505484838,17.668058068330232,18.331684150686915,,,,,,,,,,,,,,,,,
