method,cluster,mean,min
KMeans++ K*,0,0.9545992304753985,0.9107737314637345
KMeans++ K*,1,0.8213643890368144,0.6902665540948016
KMeans++ K*,2,0.6429751909758145,0.42956268221574345
KMeans++ K*,3,0.6893638701247189,0.5810700484406466
KMeans++ K*,4,0.9173688933255763,0.7890280089744518
KMeans++ K*,5,0.48193470586442155,0.2644501531469222
KMeans++ K*,6,0.7156887031554116,0.4739322953863734
KMeans++ K*,7,0.7225059546604898,0.351891560729055
KMeans++ K*,8,0.49878690731427466,0.33875126106938686
KMeans++ K*,9,0.8877882059729589,0.8568861642532501
KMeans++ K*,10,0.7159029303658443,0.5086283723568015
KMeans++ K*,11,0.8544815025553925,0.7367864693446089
KMeans++ K*,12,0.6006549628253391,0.3721436343852013
KMeans++ K*,13,0.3673363275252199,0.15358181337562782
KMeans++ K*,14,0.7210546429463565,0.4864177434123512
KMeans++ K*,15,0.4701322727228414,0.1660370109496062
KMeans++ K*,16,0.6918607399822537,0.20061195669229562
KMeans++ K*,17,0.8556530527291223,0.6067073170731707
KMeans++ K*,18,0.606713681416371,0.19436680283809935
KMeans++ K*,19,0.6282859325479816,0.3911189162067235
KMeans++ K*,20,0.7358334240925408,0.47967731926776297
KMeans++ K*,21,0.45286215864345614,0.1479361775927853
KMeans++ K*,22,0.7397577415539068,0.19916820702402957
KMeans++ K*,23,0.8249895763087237,0.43271672107363074
KMeans++ K*,24,0.7376643352066341,0.40521523178807944
KMeans++ K*,25,0.8634184463018442,0.5593726661687827
KMeans++ K*,26,0.9141313429869282,0.48259860788863107
KMeans++ K*,27,0.9300487063047577,0.6676737160120846
KMeans++ K*,28,0.5278553719362107,0.09137055837563451
KMeans++ K*,29,0.9626739294064592,0.6549295774647887
KMeans++ K*,30,0.7881555222326502,0.21043627031650983
RPW K* (no refinement),0,0.8079226994390748,0.45799801376665183
RPW K* (no refinement),1,0.9745838342419678,0.9555948304429471
RPW K* (no refinement),2,0.9233353922809051,0.45002517623363547
RPW K* (no refinement),3,0.730668869176725,0.2654734187039193
RPW K* (no refinement),4,0.9433821795493808,0.883365731741183
RPW K* (no refinement),5,0.8676906699294178,0.6044144858577848
RPW K* (no refinement),6,0.7313498160352319,0.4049569418189456
RPW K* (no refinement),7,0.9279069322207473,0.6009914375844975
RPW K* (no refinement),8,0.8649730449456557,0.5525273025997873
RPW K* (no refinement),9,0.962528206909535,0.805620005155968
RPW K* (no refinement),10,0.6687374112215463,0.4960118411314859
RPW K* (no refinement),11,0.908506327601738,0.7793906524166534
RPW K* (no refinement),12,0.7624368491649932,0.5497172803751207
RPW K* (no refinement),13,0.46961542436281856,0.08866489336879929
RPW K* (no refinement),14,0.6151629454683196,0.19136800885332425
RPW K* (no refinement),15,0.820360551126195,0.6610392046520353
RPW K* (no refinement),16,0.5645893951271648,0.2722277722277722
RPW K* (no refinement),17,0.5395290356887833,0.27535989286909945
RPW K* (no refinement),18,0.47139341969288967,0.19072676727561558
RPW K* (no refinement),19,0.6597699197969427,0.5582580495714616
RPW K* (no refinement),20,0.6122628813888085,0.30318471337579617
RPW K* (no refinement),21,0.5810612075319458,0.17104856170739252
RPW K* (no refinement),22,0.9073391356801727,0.6932457786116323
RPW K* (no refinement),23,0.744984272428513,0.42850818946436475
RPW K* (no refinement),24,0.4039090465614613,0.10426770126091174
RPW K* (no refinement),25,0.713301346085672,0.4130695443645084
RPW K* (no refinement),26,0.6562549164767133,0.3597122302158273
RPW K* (no refinement),27,0.8098528554433837,0.17086578103527256
RPW K* (no refinement),28,0.6996509389294999,0.3350582147477361
RPW K* (no refinement),29,0.9083271316783852,0.8406593406593407
RPW K* (no refinement),30,0.8541547953525976,0.5860805860805861
ZSH,0,0.9741625425205068,0.9558587923319154
ZSH,1,0.6358845369992892,0.2965169190038885
ZSH,2,0.9509499684240975,0.8750169445574082
ZSH,3,0.9460511155183726,0.895531441666105
ZSH,4,0.9086895372777429,0.6043811897422444
ZSH,5,0.6927068247094137,0.38090110268780153
ZSH,6,0.7289073756505269,0.3682975100105859
ZSH,7,0.7062554346872376,0.4046836770360014
ZSH,8,0.9329354523647508,0.6009372746935833
ZSH,9,0.9671185636860135,0.9268106734434561
ZSH,10,0.8564354490549674,0.5766129032258065
ZSH,11,0.6818122211678408,0.531647072794205
ZSH,12,0.9274282594747358,0.7860492379835874
ZSH,13,0.7472225043636319,0.5440329218106996
ZSH,14,0.6859135622110185,0.09298200069228106
ZSH,15,0.5979387216135572,0.18410772171889286
ZSH,16,0.8216590795003073,0.6613508442776735
ZSH,17,0.5409237672433413,0.22399278412507517
ZSH,18,0.570652596360004,0.37187111049647353
ZSH,19,0.45446870112493526,0.1830655129789864
ZSH,20,0.6107276192614433,0.29834651329978434
ZSH,21,0.6566234333598863,0.5416281221091582
ZSH,22,0.5362897966576777,0.17133193375320738
ZSH,23,0.6686462208310283,0.3293879907621247
ZSH,24,0.8806351928798892,0.6848681166126793
ZSH,25,0.37346266495963765,0.14033785038054575
ZSH,26,0.562111726284265,0.3608405945668888
ZSH,27,0.6541930942476514,0.42890625
ZSH,28,0.7631847498311088,0.17017383348581885
ZSH,29,0.8964435345496544,0.827027027027027
ZSH,30,0.8021197557592382,0.4738219895287958
