kind,replicate,method,cluster,jaccard
seed,0,ZSH,0,0.995622876231066
seed,0,ZSH,1,0.3098003491991194
seed,0,ZSH,2,0.9800913615599646
seed,0,ZSH,3,0.9836031112045407
seed,0,ZSH,4,0.9460061230169775
seed,0,ZSH,5,0.6083742644555755
seed,0,ZSH,6,0.4748414174655411
seed,0,ZSH,7,0.8037802338619253
seed,0,ZSH,8,0.9505202803142918
seed,0,ZSH,9,0.9803490627020038
seed,0,ZSH,10,0.6898650143837132
seed,0,ZSH,11,0.7099227974568574
seed,0,ZSH,12,0.9103977000479156
seed,0,ZSH,13,0.8266447368421053
seed,0,ZSH,14,0.6335577080939091
seed,0,ZSH,15,0.7561278863232682
seed,0,ZSH,16,0.7969893372360444
seed,0,ZSH,17,0.5011059722501509
seed,0,ZSH,18,0.7482940144277637
seed,0,ZSH,19,0.672242218928647
seed,0,ZSH,20,0.55841059602649
seed,0,ZSH,21,0.5897610921501707
seed,0,ZSH,22,0.15264080648696032
seed,0,ZSH,23,0.7514360313315926
seed,0,ZSH,24,0.9072107322526551
seed,0,ZSH,25,0.2597520411248866
seed,0,ZSH,26,0.5457627118644067
seed,0,ZSH,27,0.7341666666666666
seed,0,ZSH,28,0.8126721763085399
seed,0,ZSH,29,0.879472693032015
seed,0,ZSH,30,0.9162303664921466
seed,0,KMeans++ K*,0,0.9511052923107911
seed,0,KMeans++ K*,1,0.7045069057426703
seed,0,KMeans++ K*,2,0.48353104492680465
seed,0,KMeans++ K*,3,0.6169339390290625
seed,0,KMeans++ K*,4,0.9414514692787177
seed,0,KMeans++ K*,5,0.38818476270947755
seed,0,KMeans++ K*,6,0.4850464576074332
seed,0,KMeans++ K*,7,0.7407806605589344
seed,0,KMeans++ K*,8,0.49993105350248207
seed,0,KMeans++ K*,9,0.8605203497786894
seed,0,KMeans++ K*,10,0.7463018466595766
seed,0,KMeans++ K*,11,0.7983615221987315
seed,0,KMeans++ K*,12,0.6549739654699918
seed,0,KMeans++ K*,13,0.2513606575585916
seed,0,KMeans++ K*,14,0.8127885826220792
seed,0,KMeans++ K*,15,0.18408055929703035
seed,0,KMeans++ K*,16,0.7449544270833334
seed,0,KMeans++ K*,17,0.7910265788831993
seed,0,KMeans++ K*,18,0.5809446254071661
seed,0,KMeans++ K*,19,0.6865265760197775
seed,0,KMeans++ K*,20,0.5322009907997169
seed,0,KMeans++ K*,21,0.24769072870338693
seed,0,KMeans++ K*,22,0.8474877723432637
seed,0,KMeans++ K*,23,0.8790476190476191
seed,0,KMeans++ K*,24,0.7672770230360307
seed,0,KMeans++ K*,25,0.9781818181818182
seed,0,KMeans++ K*,26,0.9435840707964602
seed,0,KMeans++ K*,27,0.9494470774091627
seed,0,KMeans++ K*,28,0.11663902708678828
seed,0,KMeans++ K*,29,0.9964912280701754
seed,0,KMeans++ K*,30,1.0
seed,0,RPW K* (no refinement),0,0.8413854615727665
seed,0,RPW K* (no refinement),1,0.9955118246159158
seed,0,RPW K* (no refinement),2,0.9798200163621489
seed,0,RPW K* (no refinement),3,0.8060556464811784
seed,0,RPW K* (no refinement),4,0.9861880389819814
seed,0,RPW K* (no refinement),5,0.8946741415557112
seed,0,RPW K* (no refinement),6,0.41861933492353026
seed,0,RPW K* (no refinement),7,0.9374457935819601
seed,0,RPW K* (no refinement),8,0.952291135027183
seed,0,RPW K* (no refinement),9,0.9689178818112049
seed,0,RPW K* (no refinement),10,0.7323274325769277
seed,0,RPW K* (no refinement),11,0.8951418951418951
seed,0,RPW K* (no refinement),12,0.8092723972941759
seed,0,RPW K* (no refinement),13,0.29723502304147464
seed,0,RPW K* (no refinement),14,0.30437246198885637
seed,0,RPW K* (no refinement),15,0.7876014146037029
seed,0,RPW K* (no refinement),16,0.4759538950715421
seed,0,RPW K* (no refinement),17,0.7402065874098617
seed,0,RPW K* (no refinement),18,0.655785032200755
seed,0,RPW K* (no refinement),19,0.5883694412770809
seed,0,RPW K* (no refinement),20,0.5327545382794001
seed,0,RPW K* (no refinement),21,0.357630979498861
seed,0,RPW K* (no refinement),22,0.919931856899489
seed,0,RPW K* (no refinement),23,0.779291553133515
seed,0,RPW K* (no refinement),24,0.2596969696969697
seed,0,RPW K* (no refinement),25,0.7957413249211357
seed,0,RPW K* (no refinement),26,0.4834503510531595
seed,0,RPW K* (no refinement),27,0.8185595567867036
seed,0,RPW K* (no refinement),28,0.5700293829578844
seed,0,RPW K* (no refinement),29,0.892925430210325
seed,0,RPW K* (no refinement),30,0.78
seed,1,ZSH,0,0.9644947327350761
seed,1,ZSH,1,0.9273975962717684
seed,1,ZSH,2,0.9155005745960928
seed,1,ZSH,3,0.9218332534082345
seed,1,ZSH,4,0.9186014750068288
seed,1,ZSH,5,0.9550756264579727
seed,1,ZSH,6,0.8875981161695448
seed,1,ZSH,7,0.42894243254941566
seed,1,ZSH,8,0.9258465932272542
seed,1,ZSH,9,0.94510556621881
seed,1,ZSH,10,0.9852101712506487
seed,1,ZSH,11,0.7114823034692209
seed,1,ZSH,12,0.9692408376963351
seed,1,ZSH,13,0.5743790120011164
seed,1,ZSH,14,0.9532273152478953
seed,1,ZSH,15,0.3734902446577888
seed,1,ZSH,16,0.7657036346691519
seed,1,ZSH,17,0.3026567112345893
seed,1,ZSH,18,0.43422567645365573
seed,1,ZSH,19,0.24387742018207462
seed,1,ZSH,20,0.5335064935064935
seed,1,ZSH,21,0.5855614973262032
seed,1,ZSH,22,0.32097782831154065
seed,1,ZSH,23,0.7924921793534933
seed,1,ZSH,24,0.6763754045307443
seed,1,ZSH,25,0.8986526069127123
seed,1,ZSH,26,0.6268656716417911
seed,1,ZSH,27,0.4401268834258525
seed,1,ZSH,28,0.171349608475357
seed,1,ZSH,29,0.8440860215053764
seed,1,ZSH,30,0.7460732984293194
seed,1,KMeans++ K*,0,0.9556283052127927
seed,1,KMeans++ K*,1,0.7157680081569003
seed,1,KMeans++ K*,2,0.4890082122552116
seed,1,KMeans++ K*,3,0.5669257105592087
seed,1,KMeans++ K*,4,0.9183749257278669
seed,1,KMeans++ K*,5,0.3710994764397906
seed,1,KMeans++ K*,6,0.8955106533532511
seed,1,KMeans++ K*,7,0.4064967105263158
