kind,replicate,method,k,fit_seconds,max_share,ari,ami,vi_bits,centroid_shift,mi_rank_tau
seed,0,ZSH,31,27.226104736328125,0.10019,0.7918186053725825,0.8777072758606592,1.0911407758713731,0.36207516332106815,0.909090909090909
seed,0,KMeans++ K*,31,32.76910185813904,0.0951,0.6950416601148154,0.8167277116780624,1.6423927273282377,0.34519975693849003,
seed,0,RPW K* (no refinement),31,27.342725038528442,0.123802,0.8526973871804397,0.8878406601628593,0.9865078063705469,0.24659052277532217,0.909090909090909
seed,1,ZSH,31,29.06853723526001,0.090021,0.8672564833126152,0.8933924651329197,0.9589912047344806,0.39290068038661746,0.909090909090909
seed,1,KMeans++ K*,31,32.14657950401306,0.095536,0.726159837830746,0.8463905582132664,1.3797003461551305,0.6144149293698156,
seed,1,RPW K* (no refinement),31,28.478851556777954,0.113649,0.8392136184180654,0.8796872897884563,1.0564045461943343,0.3495156103079705,0.909090909090909
seed,2,ZSH,32,27.622056245803833,0.089895,0.8043612915005873,0.871583193996471,1.1553732362827331,0.2744038401604986,0.8787878787878787
seed,2,KMeans++ K*,31,32.55036425590515,0.098784,0.7920665490400917,0.8606120903232541,1.2400116769607463,0.17328710801155217,
seed,2,RPW K* (no refinement),31,27.745607137680054,0.126046,0.8273850381757647,0.8762944997250255,1.0839675591248132,0.2519419892654727,0.8787878787878787
seed,3,ZSH,32,27.599026918411255,0.089881,0.8598739758618498,0.8867446888135481,1.021776275632446,0.4028936507034287,0.909090909090909
seed,3,KMeans++ K*,31,33.00849461555481,0.099157,0.838519323173954,0.8725984442909601,1.1290204972268543,0.3961889085245031,
seed,3,RPW K* (no refinement),31,27.111260652542114,0.131131,0.8438077828149412,0.8780547267480615,1.0639852529091816,0.3082087592098114,0.909090909090909
seed,4,ZSH,31,27.10873532295227,0.086724,0.9101135903844026,0.9209368369308032,0.7106535794431806,0.3284816069004729,0.9393939393939392
seed,4,KMeans++ K*,31,32.28446435928345,0.096214,0.7132462175572174,0.8244228307457144,1.565377344852971,0.35238172878508967,
seed,4,RPW K* (no refinement),31,27.16747236251831,0.123507,0.9174932467974605,0.9196298381882229,0.7059195459147374,0.20447536353094506,0.9393939393939392
seed,5,ZSH,31,27.123372316360474,0.089974,0.8634165887490637,0.8875341070464217,1.0133822243925557,0.35950188568409064,0.8484848484848484
seed,5,KMeans++ K*,31,31.57393479347229,0.096443,0.7794915497405607,0.8598323091077675,1.2599232663431619,0.4302782296147664,
seed,5,RPW K* (no refinement),31,27.173367500305176,0.1235,0.9161822305384183,0.9099933404588189,0.7930597360049703,0.331971999475792,0.8484848484848484
seed,6,ZSH,31,27.547036170959473,0.101795,0.7409424407890153,0.8536930915547962,1.3029055050149567,0.4619678713064582,0.8787878787878787
seed,6,KMeans++ K*,31,32.60097861289978,0.094779,0.8050891807060475,0.8751954010380715,1.1227785380201152,0.37184719325254434,
seed,6,RPW K* (no refinement),31,27.362549304962158,0.169089,0.7047848748094799,0.8464407901179389,1.337916372334108,0.3320872648706484,0.8787878787878787
seed,7,ZSH,31,27.59116291999817,0.087087,0.9136516112605578,0.9227812290528038,0.695954765890668,0.3075653625900183,0.9999999999999998
seed,7,KMeans++ K*,31,31.900352478027344,0.099169,0.8292567169657623,0.8736157180707099,1.1221193613442275,0.26998146820653046,
seed,7,RPW K* (no refinement),31,27.25595998764038,0.118229,0.8965827459310095,0.9106728797685337,0.7900711354664017,0.14537379411422707,0.9999999999999998
