profile,share_dev,share_period,js_L2,top_L2_period,js_L1,top_L1_period,median_input_count_dev,median_input_count_period,median_output_count_dev,median_output_count_period,median_total_input_value_dev,median_total_input_value_period,median_fee_rate_sat_per_vbyte_dev,median_fee_rate_sat_per_vbyte_period
0,0.08710680273098445,0.043922521184068315,0.07329552026193409,P2TR,0.18787086906174416,OneInOneOut,1.0,1.0,1.0,1.0,1144.9999874457717,698.0,6.078947104757198,2.0
1,0.07661982485234646,0.007468125890363034,0.11749819016150236,P2WPKH,0.3500369156293691,Unlabelled,1.0,1.0,2.0,2.0,2011790.4990911484,1164548.0,22.02062039450827,20.232258064516127
2,0.07306516879539922,0.0001303986523698598,0.2782727718446241,P2TR,0.4941938108248397,OneInOneOut,1.0,1.0,1.0,1.0,9680.000221123919,7146.0,60.99999799716768,45.0
3,0.07066488949017098,0.0029231650964968363,0.08564550595790231,P2TR,0.055119418547220404,OneInOneOut,1.0,1.0,1.0,1.0,2841.0000595613383,2382.0,16.30147006140118,12.845070422535212
4,0.06944838429683939,0.008531904048853666,0.16174454453193746,P2WPKH,0.23824364436912093,Unlabelled,2.0,2.0,2.0,2.0,1441620.010882616,1003951.0,22.04419791605838,13.42152466367713
5,0.06321947766043079,0.03411585821427956,0.07910744096503164,P2WPKH,0.36528628499791604,Unlabelled,1.0,1.0,2.0,2.0,1284682.983532548,647658.0,11.893617022693395,9.0
6,0.060254587200449995,0.006096585602611092,0.18986123796862822,P2WPKH,0.46595583928070716,RBF,1.0,1.0,2.0,2.0,1398670.021444559,2985894.0,48.9999979731397,45.4031007751938
7,0.05460423273496067,0.021621702561471785,0.35166603980382366,P2TR,0.538406809576519,OneInOneOut,1.0,1.0,1.0,1.0,343614.0017583966,135273.0,20.99999925379221,14.090909090909092
8,0.04593049615470406,0.010384049571618816,0.009258354020740349,P2PKH,0.22605781520569979,Unlabelled,1.0,1.0,2.0,2.0,1381350.0292599201,1027000.0,23.00000051036477,8.849557522123893
9,0.03819535364115097,3.889949106327112e-05,0.35971899682344954,P2TR,0.9992947536381663,OpReturn,1.0,1.0,1.0,2.0,31626.00041832775,131330.0,209.9999992966356,1000.0
10,0.03814959074025583,0.44966726110388744,0.19841591917579043,P2WPKH,0.5351927880195646,OpReturn,1.0,1.0,2.0,2.0,1217576.9545137882,126415.0,2.9999998534751486,1.4083769633507854
11,0.03287109772773559,0.0008629043739898663,0.2341290110610853,P2WPKH,0.4006485451939504,RBF,1.0,1.0,2.0,2.0,2321694.5119202137,4849739.0,184.80141789170233,151.49329004329005
12,0.02999258095487475,0.18601945000526443,0.46563947532311833,P2TR,0.5350612506367316,FanOut,2.0,1.0,2.0,2.0,481839.501298964,121700.0,4.9999998908496535,1.2807881773399015
13,0.02851028725766877,0.022339638148461845,0.18192670105198663,P2WPKH,0.22011757073065347,FanIn,3.0,3.0,2.0,2.0,1633914.9326086044,802001.0,17.069105228799113,3.4839081352596963
14,0.027031630347288896,0.013835732230114311,0.3140549211605817,P2WPKH,0.2892292770923824,FanOut,1.0,1.0,2.0,3.0,3839606.0466766357,3221572.5,17.954546204448274,8.367585920177383
15,0.02323573409754347,0.0025136483500206473,0.2610175862681584,P2WPKH,0.5302454524511822,OneInOneOut,1.0,1.0,1.0,1.0,298775.0107422471,423033.0,93.7090887666934,60.481818181818184
16,0.02306601737899198,0.011916977025809024,0.16034286640575085,P2WPKH,0.2666342881001363,SingleInFanOut,1.0,1.0,3.0,4.0,7867983.728647232,13058147.5,25.999998794466357,6.032258064516129
17,0.021515836994365406,0.01871688760280215,0.16207602498878212,P2WPKH,0.2652718221223007,FanIn,4.0,4.0,2.0,2.0,1630564.033985138,755084.0,20.720097404921326,3.0
18,0.020840909972554382,0.0007045943962131184,0.1667818693005106,P2WPKH,0.1881085332546795,RBF,2.0,2.0,2.0,2.0,1823999.9189972878,3939546.0,139.99999437639994,100.56497175141243
19,0.01951924102683464,0.0005917123457593667,0.22811716319112083,P2TR,0.1563583993530852,FanOut,1.0,1.0,3.0,3.0,3535654.954612255,1170000.0,142.9999937792703,100.0
20,0.017995124281128472,0.013709350911572564,0.18241153996095313,P2WPKH,0.16688256062876283,FanIn,6.0,6.0,2.0,2.0,2517591.9756293297,1079850.0,18.00000058018504,3.0
21,0.01792693452813903,0.006899798587346866,0.2916677074473489,P2WPKH,0.28749505088484834,SingleInFanOut,2.0,1.0,8.0,14.0,7853021.8452215195,44677900.0,50.118915266680204,5.0
