month,profile,share
2022-07,0,0.0015805601849362937
2022-07,1,0.11887532928337186
2022-07,2,7.526477071125208e-05
2022-07,3,0.0008601688081285952
2022-07,4,0.10551045642707381
2022-07,5,0.10756410945648083
2022-07,6,0.03877210902639643
2022-07,7,0.07345841621418203
2022-07,8,0.09108112467071663
2022-07,10,0.09511316595881941
2022-07,11,0.006322240739745175
2022-07,12,0.059620450513413255
2022-07,13,0.04408365141659051
2022-07,14,0.044545992150959626
2022-07,15,0.008504919090371486
2022-07,16,0.039040911778936614
2022-07,17,0.02893392828342562
2022-07,18,0.0077415192731573575
2022-07,19,0.008580183861082738
2022-07,20,0.0242782646094296
2022-07,21,0.013300360195688404
2022-07,22,0.022547174883070804
2022-07,23,0.013332616525993227
2022-07,24,0.008214612117628084
2022-07,25,0.011096177624858879
2022-07,26,0.007451212300413956
2022-07,27,0.007827536153970216
2022-07,28,0.006913606795333584
2022-07,29,0.0024514811031664963
2022-07,30,0.0023224557819472073
2022-08,0,0.002064586092197324
2022-08,1,0.028893778088276697
2022-08,2,5.2136012429225364e-05
2022-08,3,0.0002293984546885916
2022-08,4,0.05864258678039269
2022-08,5,0.16512517856584258
2022-08,6,0.009238501402458734
2022-08,7,0.04326246311377121
2022-08,8,0.07906947645016318
2022-08,9,1.0427202485845072e-05
2022-08,10,0.17922275632670512
2022-08,11,0.005422145292639438
2022-08,12,0.11308301095898982
2022-08,13,0.04470141705681783
2022-08,14,0.03942525259898022
2022-08,15,0.00579752458212986
2022-08,16,0.03512924517481205
2022-08,17,0.03007205196917719
2022-08,18,0.005661970949813875
2022-08,19,0.007080070487888804
2022-08,20,0.025661345317664723
2022-08,21,0.012408370958155637
2022-08,22,0.049039133290929376
2022-08,23,0.01288802227250451
2022-08,24,0.008623296455793876
2022-08,25,0.010562756118161059
2022-08,26,0.008101936331501622
2022-08,27,0.008466888418506199
2022-08,28,0.006798536020770987
2022-08,29,0.0026380822289188035
2022-08,30,0.0026276550264329583
2022-09,0,0.0014963384301328868
2022-09,1,0.09083071556687444
2022-09,2,4.9547630136850555e-05
2022-09,3,0.0007333049260253883
2022-09,4,0.09786647904630721
2022-09,5,0.15606512540505188
2022-09,6,0.01152477876983144
2022-09,7,0.07228008284363759
2022-09,8,0.08971093912578161
2022-09,10,0.10427794238601568
2022-09,11,0.006342096657516871
2022-09,12,0.0660073528683123
2022-09,13,0.04733780583274702
2022-09,14,0.04724862009850069
2022-09,15,0.0069069396410769675
2022-09,16,0.03628868431222935
2022-09,17,0.03062043542457364
2022-09,18,0.006758296750666416
2022-09,19,0.007224044473952811
2022-09,20,0.026289972550612904
2022-09,21,0.012694102841061112
2022-09,22,0.02328738616431976
2022-09,23,0.012931931465717994
2022-09,24,0.008373549493127744
2022-09,25,0.010315816594492285
2022-09,26,0.007204225421898071
2022-09,27,0.0075114207287465444
2022-09,28,0.007025853953405409
2022-09,29,0.0026161148712257093
2022-09,30,0.0021800957260214244
2022-10,0,0.0024014654197744025
2022-10,1,0.07388450178357012
2022-10,2,2.6293417004829224e-05
2022-10,3,0.0007449801484701613
2022-10,4,0.0792308299078854
2022-10,5,0.15367625792089187
2022-10,6,0.011209760116392192
2022-10,7,0.06157918262531004
2022-10,8,0.08134306774060668
2022-10,10,0.13384225702691568
2022-10,11,0.00544273731999965
2022-10,12,0.08970437434814237
2022-10,13,0.047582320306405954
2022-10,14,0.04269174474350772
2022-10,15,0.006143895106795095
2022-10,16,0.0356275800415436
2022-10,17,0.028169014084507043
2022-10,18,0.006056250383445665
2022-10,19,0.006292891136489127
2022-10,20,0.02733638921268745
2022-10,21,0.010780300971979982
2022-10,22,0.034216499995617766
2022-10,23,0.012436786243284223
2022-10,24,0.007703971182414963
2022-10,25,0.014978483220417714
2022-10,26,0.0076338554037354185
2022-10,27,0.007721500127084849
2022-10,28,0.006363006915168673
2022-10,29,0.002497874615458776
2022-10,30,0.002681928534492581
2022-11,0,0.001025795212366138
2022-11,1,0.17004324257403855
2022-11,2,4.421531087785078e-05
2022-11,3,0.0027501923366023188
2022-11,4,0.12802985417790472
2022-11,5,0.047964769240292526
2022-11,6,0.07826110025379589
2022-11,7,0.0845396743984507
2022-11,8,0.08780276434123609
2022-11,10,0.05151083717269616
2022-11,11,0.006871059310418011
2022-11,12,0.035257288893998213
2022-11,13,0.04387927451517912
2022-11,14,0.0401209730905618
2022-11,15,0.01251293297843177
2022-11,16,0.04188958552567583
2022-11,17,0.027820273604343713
2022-11,18,0.010311010496714802
2022-11,19,0.009382488968279937
2022-11,20,0.024566026723733893
2022-11,21,0.013414925320339928
2022-11,22,0.01576717985904159
2022-11,23,0.013034673646790411
2022-11,24,0.007737679403623887
2022-11,25,0.01414889948091225
2022-11,26,0.008542398061600771
2022-11,27,0.010054561693623268
2022-11,28,0.007490073662707922
2022-11,29,0.002617546403968766
2022-11,30,0.002608703341793196
2022-12,0,0.002170858254665994
2022-12,1,0.12655833393384738
2022-12,2,3.603084240109534e-05
2022-12,3,0.0010719175614325863
2022-12,4,0.10388592635295814
2022-12,5,0.10596670750162139
2022-12,6,0.020123225481011746
2022-12,7,0.07436765871586078
2022-12,8,0.08018663976363767
2022-12,10,0.11013727750954817
2022-12,11,0.007710600273834402
2022-12,12,0.06930532535850688
2022-12,13,0.04413778194134179
2022-12,14,0.038742163291777765
2022-12,15,0.0074403689558261875
2022-12,16,0.03628305829790301
2022-12,17,0.026653815666210275
2022-12,18,0.006287381998991136
2022-12,19,0.007323268718022627
2022-12,20,0.023690278878720186
2022-12,21,0.010935360668732436
2022-12,22,0.03583267276788931
2022-12,23,0.011845139439360093
2022-12,24,0.007503422930028104
2022-12,25,0.013646681559414859
2022-12,26,0.008007854723643439
2022-12,27,0.008539309649059594
2022-12,28,0.006395474526194422
2022-12,29,0.003035598472292282
2022-12,30,0.002179865965266268
2023-01,0,0.0023222690116423087
2023-01,1,0.0708911320287342
2023-01,2,4.644538023284617e-05
2023-01,3,0.0005418627693832053
2023-01,4,0.07920485509041367
2023-01,5,0.1529291553133515
2023-01,6,0.01103851870200644
2023-01,7,0.06027062174882338
2023-01,8,0.06908750309635868
2023-01,10,0.15604873668565766
2023-01,11,0.005689559078523657
2023-01,12,0.10243528610354223
2023-01,13,0.03950179588803567
2023-01,14,0.0327594748575675
2023-01,15,0.005968231359920733
2023-01,16,0.03009660639088432
2023-01,17,0.02402774337379242
2023-01,18,0.005728263562051028
2023-01,19,0.006448166955660144
2023-01,20,0.021883514986376022
2023-01,21,0.009018144661877631
2023-01,22,0.05934171414416646
2023-01,23,0.01098433242506812
2023-01,24,0.006564280406242259
2023-01,25,0.013283378746594006
2023-01,26,0.0067190983403517465
2023-01,27,0.0077718602922962595
2023-01,28,0.004799355957394105
2023-01,29,0.0026164230864503344
2023-01,30,0.0019816695566014365
2023-02,0,0.005790997630955514
2023-02,1,0.17264305547300224
2023-02,2,3.3964795489475156e-05
2023-02,3,0.003956898674523856
2023-02,4,0.10828825921931917
2023-02,5,0.10887415194151262
2023-02,6,0.022331853034329916
2023-02,7,0.08993877845613023
2023-02,8,0.07621700107838225
2023-02,9,8.491198872368789e-06
2023-02,10,0.062384838115293495
2023-02,11,0.006283487165552905
2023-02,12,0.04543640516604539
2023-02,13,0.04181066324754392
2023-02,14,0.04005298508096358
2023-02,15,0.007489237405429273
2023-02,16,0.033344937971792235
2023-02,17,0.024802791906189236
2023-02,18,0.0037021627083527924
2023-02,19,0.0071665718482792585
2023-02,20,0.02251016821064966
2023-02,21,0.010554560198354405
2023-02,22,0.03492430096205283
2023-02,23,0.01332269103074663
2023-02,24,0.006775976700150294
2023-02,25,0.013314199831874263
2023-02,26,0.012337711961551852
2023-02,27,0.012006555205529469
2023-02,28,0.004882439351612054
2023-02,29,0.0026577452470514314
2023-02,30,0.006156119182467373
2023-03,0,0.007990889738662318
2023-03,1,0.17152913924853286
2023-03,2,0.0018052293417706777
2023-03,3,0.0096796526712865
2023-03,4,0.11834281240496665
2023-03,5,0.05355513713919677
2023-03,6,0.09795472044826627
2023-03,7,0.09553480728044464
2023-03,8,0.07569022523309457
2023-03,10,0.034325238917897655
2023-03,11,0.006819755291133671
2023-03,12,0.03246177637155373
2023-03,13,0.041009116731693745
2023-03,14,0.04094441317105681
2023-03,15,0.013542455241311929
2023-03,16,0.033587618326636516
2023-03,17,0.027181965823579273
2023-03,18,0.005551565502649611
2023-03,19,0.008961443148216446
2023-03,20,0.026243764194343613
2023-03,21,0.01122606777050941
2023-03,22,0.020090455577770446
2023-03,23,0.01555473597712082
2023-03,24,0.006586822472840681
2023-03,25,0.013024826756216395
2023-03,26,0.008948502436089058
2023-03,27,0.009330253443847015
2023-03,28,0.004775122775006309
2023-03,29,0.0029893045014267134
2023-03,30,0.00476218206287892
2023-04,0,0.0835789615250989
2023-04,1,0.14808858305221514
2023-04,2,0.037382182523227274
2023-04,3,0.05234962511347462
2023-04,4,0.09540273683974582
2023-04,5,0.054568684366839634
2023-04,6,0.05752743003799298
2023-04,7,0.07788001389713876
2023-04,8,0.06355699507996458
2023-04,9,4.4829479865959855e-05
2023-04,10,0.04205005211427035
2023-04,11,0.005160993869568628
2023-04,12,0.033627713584453135
2023-04,13,0.03687224718975198
2023-04,14,0.03416006365786141
