period,feature,rank_dev,weight_dev,rank_refit,weight_refit
TEST,input_count,10,0.01544983982589585,9,0.01809506790170747
TEST,output_count,6,0.03324276241514818,10,0.01544983982589585
TEST,vsize,2,0.1727344604609332,5,0.043698746036547775
TEST,total_input_value,7,0.026380129385063754,2,0.1727344604609332
TEST,fee,3,0.09402473091649828,4,0.06107085416826271
TEST,fee_rate_sat_per_vbyte,5,0.043698746036547775,7,0.026380129385063754
TEST,avg_output_value,9,0.01809506790170747,8,0.02159180755761665
TEST,input_output_ratio,8,0.02159180755761665,1,0.4885668333461017
TEST,size,1,0.4885668333461017,3,0.09402473091649828
TEST,fee_rate_sat_per_byte,4,0.06107085416826271,6,0.03324276241514818
TEST,has_op_return,12,0.011753091364562285,11,0.013391676621662118
TEST,rbf_enabled,11,0.013391676621662118,12,0.011753091364562285
FUTURE,input_count,10,0.01544983982589585,10,0.01544983982589585
FUTURE,output_count,6,0.03324276241514818,9,0.01809506790170747
FUTURE,vsize,2,0.1727344604609332,7,0.026380129385063754
FUTURE,total_input_value,7,0.026380129385063754,5,0.043698746036547775
FUTURE,fee,3,0.09402473091649828,4,0.06107085416826271
FUTURE,fee_rate_sat_per_vbyte,5,0.043698746036547775,3,0.09402473091649828
FUTURE,avg_output_value,9,0.01809506790170747,8,0.02159180755761665
FUTURE,input_output_ratio,8,0.02159180755761665,2,0.1727344604609332
FUTURE,size,1,0.4885668333461017,6,0.03324276241514818
FUTURE,fee_rate_sat_per_byte,4,0.06107085416826271,1,0.4885668333461017
FUTURE,has_op_return,12,0.011753091364562285,11,0.013391676621662118
FUTURE,rbf_enabled,11,0.013391676621662118,12,0.011753091364562285
