profile,n,share,med_inputs,med_outputs,med_value_sat,med_fee_rate,med_vsize,opreturn_share,rbf_share,top_script,top_script_share,top_rule,top_rule_share,runes_share,exchange_tag_share,eocj_share,representative_txid,descriptor
0,24007,0.04392252118406831,1.0,1.0,698.0,2.0,151.0,0.06064897738159703,0.7584454534094223,P2TR,0.9653850960136627,OneInOneOut,0.920814762360978,0.05994085058524597,0.00029158162202690883,0.0,25e416e189da3a31f22617e3300ffe6c14d4dd4e6bd245a8742056ca814be315,1-in/1-out; P2TR 97%; value 698 sat; 2.0 sat/vB; OneInOneOut 92%
1,3053,0.007468125890363034,1.0,2.0,1164548.0,20.232258064516127,141.0,0.17490992466426467,0.5185063871601703,P2WPKH,0.8860137569603669,Unlabelled,0.44251555846708157,0.16966917785784474,0.003930560104814936,0.0,368c0980eab3ec33eec83d11e1c3ec579bef2cd8b58fba773cf6fd57b9bcb8b7,1-in/2-out; P2WPKH 89%; value 0.012 BTC; 20.2 sat/vB
2,72,0.00013039865236985976,1.0,1.0,7146.0,45.0,154.0,0.19444444444444445,0.7638888888888888,P2TR,0.8611111111111112,OneInOneOut,0.6666666666666666,0.19444444444444445,0.05555555555555555,0.0,eab313268b9bd106f32ba97ca7e0f308c014a858e96580620cf42fd481b7a643,"1-in/1-out; P2TR 86%; value 7,146 sat; 45.0 sat/vB; OneInOneOut 67%"
3,1198,0.002923165096496836,1.0,1.0,2382.0,12.845070422535212,151.0,0.0008347245409015025,0.8230383973288815,P2TR,0.9649415692821369,OneInOneOut,0.9841402337228714,0.0008347245409015025,0.0,0.0,95389399db8fa7a65a1f923b5d29a70641d49ee7accbe025865283ae5151446a,"1-in/1-out; P2TR 96%; value 2,382 sat; 12.8 sat/vB; OneInOneOut 98%"
4,3867,0.008531904048853666,2.0,2.0,1003951.0,13.42152466367713,208.0,0.05559865528833721,0.4939229376777864,P2WPKH,0.6141711921386087,Unlabelled,0.4047064908197569,0.0369795707266615,0.002585983966899405,0.0,6e20bdfdc9cb4568b4df991ab3dd96b4d0ca857e02b51ec75c270a3bf0a32b7f,2-in/2-out; P2WPKH 61%; value 0.010 BTC; 13.4 sat/vB
5,14991,0.03411585821427956,1.0,2.0,647658.0,9.0,141.0,0.1634980988593156,0.5441264758855313,P2WPKH,0.8572476819424988,Unlabelled,0.4149823227269695,0.15722766993529452,0.0012007204322593557,0.0,b008b61f0b09197100fd517680e64f32ae65d5a0a2b770cf8b930b87ce808574,"1-in/2-out; P2WPKH 86%; value 647,658 sat; 9.0 sat/vB"
6,2431,0.006096585602611092,1.0,2.0,2985894.0,45.4031007751938,141.0,0.234882764294529,0.7301522007404361,P2WPKH,0.8547922665569725,RBF,0.48004936240230356,0.23364870423693954,0.0016454134101192926,0.0,ecef3904015137dcd2442ef525178d89c0a2c76832ed677b74cb797c9f482a77,1-in/2-out; P2WPKH 85%; value 0.030 BTC; 45.4 sat/vB
7,8257,0.021621702561471782,1.0,1.0,135273.0,14.090909090909092,113.0,0.36163255419643936,0.5127770376650115,P2WPKH,0.6186266198377135,OneInOneOut,0.6376407896330386,0.36163255419643936,0.0,0.0,260181984e2f6016fb41cfb742d3b2fdb471530401683a39cdee20e975e3fcc6,"1-in/1-out; P2WPKH 62%; value 135,273 sat; 14.1 sat/vB; OneInOneOut 64%"
8,5275,0.010384049571618818,1.0,2.0,1027000.0,8.849557522123893,223.0,0.016872037914691943,0.48834123222748815,P2PKH,0.9990521327014218,Unlabelled,0.4007582938388626,0.0,0.002843601895734597,0.0,de4a7fbbde7fd3607d2bd47902fec91365afa012fde8bec841e04d226ab07e90,1-in/2-out; P2PKH 100%; value 0.010 BTC; 8.8 sat/vB
9,9,3.8899491063271116e-05,1.0,2.0,131330.0,1000.0,131.0,1.0,0.4444444444444444,P2TR,0.6666666666666666,OpReturn,0.7777777777777778,1.0,0.0,0.0,612721266585907885a567f60363efdd0b65ea157471e18b8d21600cf805bfa3,"1-in/2-out; P2TR 67%; value 131,330 sat; 1000.0 sat/vB; OP_RETURN 100%; OpReturn 78%"
