timestep,n,illicit,flagged,precision,recall,setting,method,top_clusters
35,1341,182,639,0.28012519561815336,0.9835164835164835,AF-165,ZSH,3
36,1708,33,948,0.03270042194092827,0.9393939393939394,AF-165,ZSH,3
37,498,40,181,0.1712707182320442,0.775,AF-165,ZSH,3
38,756,111,283,0.36395759717314485,0.9279279279279279,AF-165,ZSH,3
39,1183,81,434,0.17972350230414746,0.9629629629629629,AF-165,ZSH,3
40,1211,112,608,0.15460526315789475,0.8392857142857143,AF-165,ZSH,3
41,1132,116,549,0.17122040072859745,0.8103448275862069,AF-165,ZSH,3
42,2154,239,1341,0.15958240119313946,0.895397489539749,AF-165,ZSH,3
43,1370,24,721,0.012482662968099861,0.375,AF-165,ZSH,3
44,1591,24,982,0.008146639511201629,0.3333333333333333,AF-165,ZSH,3
45,1221,5,526,0.0019011406844106464,0.2,AF-165,ZSH,3
46,712,2,400,0.0,0.0,AF-165,ZSH,3
47,846,22,249,0.012048192771084338,0.13636363636363635,AF-165,ZSH,3
48,471,36,190,0.021052631578947368,0.1111111111111111,AF-165,ZSH,3
49,476,56,110,0.03636363636363636,0.07142857142857142,AF-165,ZSH,3
35,1341,182,1174,0.15502555366269166,1.0,AF-165,K-means++ (K),1
36,1708,33,1607,0.020535158680771624,1.0,AF-165,K-means++ (K),1
37,498,40,461,0.08676789587852494,1.0,AF-165,K-means++ (K),1
38,756,111,699,0.15879828326180256,1.0,AF-165,K-means++ (K),1
39,1183,81,1107,0.07317073170731707,1.0,AF-165,K-means++ (K),1
40,1211,112,1089,0.10192837465564739,0.9910714285714286,AF-165,K-means++ (K),1
41,1132,116,985,0.11776649746192894,1.0,AF-165,K-means++ (K),1
42,2154,239,1948,0.12217659137577003,0.99581589958159,AF-165,K-means++ (K),1
43,1370,24,1265,0.018972332015810278,1.0,AF-165,K-means++ (K),1
44,1591,24,1436,0.016713091922005572,1.0,AF-165,K-means++ (K),1
45,1221,5,979,0.005107252298263534,1.0,AF-165,K-means++ (K),1
46,712,2,630,0.0031746031746031746,1.0,AF-165,K-means++ (K),1
47,846,22,681,0.032305433186490456,1.0,AF-165,K-means++ (K),1
48,471,36,398,0.09045226130653267,1.0,AF-165,K-means++ (K),1
49,476,56,418,0.1339712918660287,1.0,AF-165,K-means++ (K),1
35,1341,182,844,0.2132701421800948,0.989010989010989,AF-165,rank-power K-means (K),1
36,1708,33,1364,0.02346041055718475,0.9696969696969697,AF-165,rank-power K-means (K),1
37,498,40,306,0.10784313725490197,0.825,AF-165,rank-power K-means (K),1
38,756,111,458,0.2292576419213974,0.9459459459459459,AF-165,rank-power K-means (K),1
39,1183,81,612,0.12745098039215685,0.9629629629629629,AF-165,rank-power K-means (K),1
40,1211,112,755,0.13509933774834437,0.9107142857142857,AF-165,rank-power K-means (K),1
41,1132,116,769,0.14044213263979194,0.9310344827586207,AF-165,rank-power K-means (K),1
42,2154,239,1559,0.14496472097498397,0.9456066945606695,AF-165,rank-power K-means (K),1
43,1370,24,878,0.014806378132118452,0.5416666666666666,AF-165,rank-power K-means (K),1
44,1591,24,1154,0.012998266897746967,0.625,AF-165,rank-power K-means (K),1
45,1221,5,683,0.0029282576866764276,0.4,AF-165,rank-power K-means (K),1
46,712,2,481,0.004158004158004158,1.0,AF-165,rank-power K-means (K),1
47,846,22,387,0.03617571059431524,0.6363636363636364,AF-165,rank-power K-means (K),1
48,471,36,257,0.023346303501945526,0.16666666666666666,AF-165,rank-power K-means (K),1
