p,median inputs,median outputs,median value,median fee rate,median vsize,P2PKH,P2SH,P2WPKH,P2WSH,P2TR,mixed,OP_RETURN,RBF,exchange tag,Runes (2024)
0,0.0,0.0,0.0,0.14394696091554934,0.037838311052007766,0.0,2.7833928863436307e-05,5.5667857726872615e-05,0.010162863276262181,0.9896249030161541,0.00012873192099339292,0.0002157129486916314,0.9592267734561737,0.0,0.008337875759594614
1,0.0,0.08863185237569092,0.6077210792963287,0.4413233816049027,0.04428942576651941,0.0,0.02882333396620467,0.928948326055313,0.0012736535662299854,0.04095468641225239,0.0,0.0006130941079678502,0.39040250617049554,0.0038605151572685273,0.3332269758726969
2,0.0,0.0,0.1735905113129889,0.6911602391430218,0.054156198367842676,0.0,2.9035161580674197e-05,0.00017835884970985577,0.0016550042100984292,0.9980629399345464,7.466184406459079e-05,2.0739401129052997e-05,0.789254501487015,4.1478802258106e-06,0.0006075334143377885
3,0.0,0.0,0.07388401608768104,0.3693036399929749,0.04173646538744088,0.0,3.4310172537280146e-05,0.0002530375224624411,0.011223715191257769,0.9884160279971008,7.29091166417203e-05,7.29091166417203e-05,0.8991280927403964,0.0,0.0006890940488841658
4,0.08795037655427827,0.08863185237569092,0.5806107815474696,0.44158152075715873,0.11307464839886402,0.0,0.10253847865836363,0.5935553974855228,0.17889357765335823,0.1068369168197667,0.018175629382988657,0.0027405270714326237,0.35275558251473904,0.002064123096795591,0.021549029383601214
5,0.0,0.08863185237569092,0.571234820320335,0.2951504798161887,0.04428942576651941,0.0004985618408437201,0.05104985618408437,0.8897890699904123,0.0026653883029721954,0.05599712368168744,0.0,0.0008533077660594439,0.3869367209971237,0.0012511984659635666,0.6285150586891491
6,0.0,0.08863185237569092,0.5781503141962107,0.6369153956875441,0.04428942576651941,0.0,0.08687385887524708,0.7435983844439862,0.0014435385304073596,0.16808421815035937,0.0,0.00311341585478103,0.42516485008827215,0.0019113053712710684,0.12336052781364946
7,0.0,0.0,0.463955587995006,0.42988794998596547,0.0,0.0,0.00010545420234996365,0.8716511352977416,0.001337603303491644,0.12690580719641678,0.0,0.0024309968752254775,0.4259850255032663,9.43537599973359e-05,0.7257071974725988
8,0.0,0.08863185237569092,0.5771366607413173,0.45182970567006464,0.12563791051148443,0.9993797549372166,0.0006202450627833167,0.0,0.0,0.0,0.0,0.021682183790489137,0.17624857310643802,0.002758111023866238,0.0005157403969138094
9,0.0,0.0,0.26989568990881097,1.0,0.05535261981036479,1.5869237483138935e-05,3.173847496627787e-05,0.0002856462746965008,4.7607712449416804e-05,0.9995635959692136,5.5542331190986275e-05,0.0001983654685392367,0.8291597238752678,2.3803856224708402e-05,0.20328298853492405
10,0.0,0.08863185237569092,0.5668704926019421,0.0,0.04680692721450362,0.09158000937408146,0.12650243487793833,0.6946035478515082,0.004210392519800761,0.07925070901421206,7.944136829812756e-06,0.038409901572144675,0.2881100104068193,0.00024626824172419546,0.8176988644830566
11,0.0,0.08863185237569092,0.6193761829569906,0.9679289809102821,0.04680692721450362,0.05908981947594549,0.07405358558757906,0.5813741218122476,0.0012631151924176209,0.28421935793181025,0.0,0.00964393059320315,0.5359849532555181,0.003245376260810238,0.42949811305550706
12,0.08795037655427827,0.08863185237569092,0.4914591177332362,0.10224652695527447,0.10957198499900442,0.013227032052059334,0.09147770906592297,0.3995291217008205,0.3410229982619943,0.11743664362798593,0.02980881936865931,0.013156299260337092,0.24515985610929228,0.0004142920658017057,0.03372762148337596
13,0.15035216179815097,0.08863185237569092,0.5907966528614481,0.38025091408043654,0.16413176365395946,0.0005527622165764885,0.18652535796668546,0.5356053277773644,0.10122989593188268,0.1231703039129187,0.0529163521945723,0.010715082967482699,0.42013117472601064,0.0012330849446706281,0.05419081792253197
14,0.0,0.08863185237569092,0.6603008196652789,0.3923148282967768,0.07670164193523776,0.03361212637621365,0.6121824337959952,0.27021996995313585,0.0029486288315357535,0.08085745677960401,0.0001793842635154831,0.051707513958338,0.4842029732941678,0.00359889678677938,0.13439184698323609
15,0.0,0.0,0.45258068749119024,0.7979989228496104,0.0,0.0,0.003339028812166586,0.7832761611603125,0.0006912833087688636,0.21269352671875205,0.0,0.004565078454134005,0.39075767259257327,0.00016956005686783447,0.4205586838909131
16,0.0,0.1515171524096389,0.718663488121665,0.4815311492766108,0.20549193086757564,0.5015569774928064,0.13640962304063908,0.24078624078624078,0.007476119775585016,0.06055788408729585,0.05321315481743289,0.07657438673481454,0.37134898632224833,0.033346910352257945,0.10270709667662294
17,0.1987547468080262,0.08863185237569092,0.5906296469916803,0.42665904220921014,0.20497032708188503,0.0,0.1863115192833197,0.507352734033862,0.052610079725047186,0.1777051581823816,0.07602050877538948,0.005549764768853706,0.46913823703411556,0.0027889680818097306,0.027340743907652842
18,0.08795037655427827,0.08863185237569092,0.5997493878652739,0.8983503230805696,0.11480092040370202,0.026320764320095395,0.11064900315558335,0.49674989457152413,0.1551180071836782,0.1805371762618698,0.030625154507249116,0.013276717029970771,0.45478209024677535,0.0047842715255864005,0.06598780347485905
19,0.0,0.1515171524096389,0.6535918367208322,0.9036593804842082,0.11651090658086523,0.3115858770921964,0.15546688196751857,0.26834456417103997,0.0014905443592211907,0.2628947613576375,0.00020184454864453623,0.22868987361425955,0.6090581622830171,0.008399838524361084,0.1196024914269718
20,0.27173971966788946,0.08863185237569092,0.6259659358182129,0.3929188285893397,0.2891141320749766,0.1514391094194722,0.16231874294760598,0.38599120871718007,0.02804116071879684,0.13542280681071794,0.136786971386227,0.005759805985482595,0.36123414790238645,0.01278272731865874,0.01932707552155422
21,0.08795037655427827,0.3287808571610208,0.7185086455214582,0.6424963487839892,0.27898539718575444,0.027370164998647552,0.10390181228022721,0.26396402488504195,0.10809440086556668,0.2680213686773059,0.22864822829321071,0.00792872599404923,0.2954929672707601,0.04890789829591561,0.05620578539945924
22,0.0,0.0,0.3877681172322659,0.06161691237758293,0.0,0.0,0.0,0.6583544870837689,0.0024104609739968854,0.33923505194223424,0.0,0.002751765182704409,0.26389214787004844,0.00010665756522110113,0.8326568168673432
23,0.3697808606568433,0.08863185237569092,0.6886167398631694,0.4181569564352196,0.3892302776007023,0.13887705267298175,0.21957455177160837,0.29751876495460355,0.02979448687272608,0.18463404241371398,0.12960110131436625,0.010160936117211314,0.4098790520829919,0.019010783703169557,0.019491615935063548
24,0.0,0.5606800887562651,0.8041796166525063,0.494366908144966,0.41881081473518905,0.02398224518864487,0.1765543741097751,0.31385604027957203,0.0776441750306403,0.35330749610785384,0.05465566928351386,0.003511212693365133,0.459405743813972,0.12328994004438702,0.05832271904538446
25,0.15035216179815097,0.0,0.6062080428918655,0.4062040915546649,0.28613449472356123,0.8497154283956314,0.06102907245039225,0.0012690355329949238,0.0,0.00011536686663590217,0.08787109675434548,0.005691432087371173,0.1542455006922012,0.0371481310567605,0.0015250876925423213
26,0.5297751573228933,0.08863185237569092,0.7360163030849569,0.36542576534913135,0.5367414692664003,0.15400865104114275,0.21144754048888442,0.24987425812292527,0.02353887938839151,0.1725681520973745,0.18856251886128156,0.004526707574690675,0.4280253495624183,0.03410119706266975,0.02579564489112228
27,0.7517608089907548,0.0,0.8797858147263226,0.32516894763120435,0.7928929771191597,0.49622917910042863,0.11339590906624708,0.1042265747924692,0.011665129401551734,0.12354185882480603,0.1509413488144973,0.009711898431989583,0.2523465899842656,0.40703163149042376,0.014596136962247586
28,0.0,0.712197241165904,0.961111288462874,0.4226376870838605,0.5250210608055215,0.02227891156462585,0.20144557823129253,0.43460884353741497,0.06913265306122449,0.10433673469387755,0.16819727891156463,0.0027210884353741495,0.1873299319727891,0.070578231292517,0.029582280362717407
29,0.08795037655427827,1.0,1.0,0.31894432292001634,0.7392063738267419,0.009606481481481481,0.02638888888888889,0.6039351851851852,0.003935185185185185,0.17418981481481483,0.18194444444444444,0.00011574074074074075,0.23958333333333334,0.0024305555555555556,0.013045098770033545
30,1.0,0.0,0.8760376952670107,0.17932165835771258,1.0,0.08017334777898158,0.2535211267605634,0.16019192075530103,0.03002631171645256,0.2720941030800186,0.20399318990868287,0.000773874013310633,0.46153846153846156,0.011298560594335242,0.02075900097307817
