Period,Target,Positives,Base rate,ZSH AP lift,ZSH 95% CI,ZSH enrichment @25%,Clusters @25%,K-means++ AP lift,Difference (K-means++ − ZSH),Diff. 95% CI,p (Holm)
TEST,Coinbase,749,0.000289805227704,22.383111647815333,20.24–24.44,32.3558599360936,1,14.187437463522585,-8.195674184292749,-9.68 to -6.78,0.0219780219780219
TEST,Inputs: P2PKH,89525,0.0346388333400625,23.34565606660712,23.11–23.59,28.85088319552352,1,5.5975442077736925,-17.748111858833425,-17.96 to -17.53,0.0219780219780219
TEST,Inputs: P2SH,112449,0.0435086256459221,5.42531968556861,5.36–5.50,8.309911778608395,2,2.6922338764491283,-2.7330858091194816,-2.80 to -2.66,0.0219780219780219
TEST,Inputs: P2WPKH,1221160,0.472486904497134,1.7656643992389554,1.76–1.77,1.9575180782125583,1,1.4465732715292965,-0.3190911277096588,-0.33 to -0.31,0.0219780219780219
TEST,Inputs: P2WSH,36881,0.0142700746573176,7.272260666511544,7.16–7.40,7.997496721500544,2,6.802533870945436,-0.4697267955661077,-0.57 to -0.38,0.0219780219780219
TEST,Inputs: P2TR,1058045,0.4093768319264009,2.04860928257017,2.04–2.06,2.420585825419585,3,1.739753120885977,-0.3088561616841931,-0.32 to -0.30,0.0219780219780219
TEST,Inputs: mixed,65717,0.0254273770310582,8.880797156812651,8.77–8.98,11.421536085126156,2,14.047081795688172,5.166284638875521,5.04 to 5.30,0.0219780219780219
TEST,OP_RETURN: Runes,1041406,0.4029333721981831,1.93648396570592,1.92–1.95,2.041203772790784,2,1.982115700594604,0.0456317348886841,0.04 to 0.05,0.0219780219780219
TEST,OP_RETURN: Omni,875,0.0003386093892359,26.227548035541403,23.01–29.25,31.99493146532566,1,15.6805120014495,-10.547036034091905,-12.73 to -7.93,0.0219780219780219
TEST,OP_RETURN: other,35010,0.0135462515961131,7.230395765677095,6.80–7.70,9.95603545884276,2,4.650228587200983,-2.5801671784761115,-2.85 to -2.35,0.0219780219780219
TEST,Tag: exchange,8649,0.0033463880164738,20.8450395797365,20.01–21.75,29.170333417903443,2,30.778176827416917,9.933137247680412,9.43 to 10.45,0.0219780219780219
FUTURE,Inputs: P2PKH,25190,0.0459465345882127,9.314896159920554,8.85–9.72,21.14555806032829,2,2.3631974737844006,-6.951698686136154,-7.32 to -6.56,0.0179820179820179
FUTURE,Inputs: P2SH,16956,0.0315844031808792,3.4122162256091384,3.22–3.62,5.036622213014866,5,2.263157070330699,-1.1490591552784393,-1.38 to -0.96,0.0179820179820179
FUTURE,Inputs: P2WPKH,275948,0.6245730854726301,1.3176839262415392,1.31–1.33,1.3604187711261742,3,1.242730037761152,-0.074953888480387,-0.08 to -0.07,0.0179820179820179
FUTURE,Inputs: P2WSH,11386,0.0215866722297439,3.2892334399969383,3.08–3.47,3.300132533326604,3,3.063605228501106,-0.2256282114958323,-0.34 to -0.11,0.0179820179820179
FUTURE,Inputs: P2TR,116926,0.2541420198748082,2.4498473643859158,2.41–2.49,2.585321605148488,3,2.0924153492396176,-0.3574320151462977,-0.39 to -0.33,0.0179820179820179
FUTURE,Inputs: mixed,6935,0.0132699645427358,7.878334234037894,7.26–8.27,9.4209023028367,5,10.021051951068408,2.1427177170305143,1.55 to 2.97,0.0179820179820179
FUTURE,OP_RETURN: Runes,137087,0.3919723086617889,1.3525617195697026,1.34–1.37,1.3946868770991523,1,1.3020928310413873,-0.0504688885283153,-0.06 to -0.04,0.0179820179820179
FUTURE,OP_RETURN: other,9245,0.0176138548391299,3.340957152017552,2.97–3.79,2.6880884385499133,4,2.66609472349674,-0.6748624285208118,-1.07 to -0.30,0.0179820179820179
FUTURE,Tag: exchange,1936,0.0033220608372278,29.60115528846692,25.29–33.41,44.38971602486304,1,31.79127759266644,2.190122304199516,0.19 to 4.64,0.0479520479520479
