Data,Quantity,Estimate,95% CI
"D1 (2022–2024), stratified API sample",precision_rule,0.0964,0.0884–0.1046
"D1 (2022–2024), stratified API sample",recall_rule,0.9020759890922995,0.7435–1.0000
"D1 (2022–2024), stratified API sample",prevalence,0.002004097620963178,0.0017–0.0025
D1,GraphSense coinjoin-tag matches,0.0,
Future sample (design-weighted),precision_rule,0.07775979198426282,
Future sample (design-weighted),recall_rule,0.9699795453696433,
Future sample (design-weighted),prevalence_eocj,0.0007668614669883356,
Future sample (design-weighted),prevalence_rule,0.009565868402289235,
Future sample (counts),rule&eocj,374.0,
Future sample (counts),rule&~eocj,4778.0,
Future sample (counts),~rule&eocj,14.0,
Future sample (counts),~rule&~eocj,451126.0,
Future sample,GraphSense coinjoin-tag matches,0.0,
