Variant,K,Max share (fit),Max share (TEST),Fit (s),Silhouette,Davies-Bouldin,Calinski-Harabasz,Median AP lift,Targets higher than reference (Holm),Targets lower than reference (Holm),Median AP-lift difference
reference,31,0.089092,0.1819313376126413,38.66142439842224,0.2109952926635742,1.79273511778579,39118.61158302634,7.054578338915038,,,
s=0.5,31,0.094207,0.232569171183929,34.528799295425415,0.2568670809268951,1.311989929655305,51467.808515732,7.161550464108746,4.0,7.0,-0.1644572829367818
s=1.0,31,0.094222,0.2284310880508255,34.86008191108704,0.2365404397249221,1.4540282568313003,45643.76758560706,7.492768800499718,5.0,6.0,-0.1048682856230467
s=2.0,32,0.084254,0.1892405969363869,34.1363091468811,0.1682762295007705,2.103360580422166,32401.30678480671,7.432244795484893,7.0,2.0,0.2858591374097443
s=3.0,33,0.089797,0.2024337113517738,34.7123544216156,0.1185939088463783,2.9495673565743887,21140.105866814887,8.442711631150349,9.0,2.0,1.0802215905268806
K0=10,20,0.088036,0.214964422931829,35.0290949344635,0.1924658149480819,1.69808591093204,36969.18499923587,6.676730535278532,2.0,8.0,-0.2383790781653179
K0=20,22,0.108224,0.2621880960948412,33.431416749954224,0.2186001181602478,1.478423390340962,49465.0660331472,6.591536187384103,2.0,8.0,-0.1480574784166739
K0=40,40,0.089474,0.1439499638232096,43.16827630996704,0.2321831315755844,1.731180845689255,35525.66589478959,8.187267315519186,11.0,0.0,1.1234158046619598
K0=60,60,0.083743,0.1231585626787075,61.45136189460754,0.2038458317518234,1.8557703593536885,29008.88790625437,8.912376134164543,11.0,0.0,3.211357683568501
cap=0.05,45,0.051257,0.1548200253044074,58.34465289115906,0.1492731660604477,1.9128532256559592,30165.35140645737,8.518412105942827,11.0,0.0,1.46383376702779
cap=0.15,30,0.135036,0.2061307084847148,33.611494302749634,0.2337251365184784,1.7533072021468916,39989.54306273672,7.047509578707832,1.0,9.0,-0.0154500932048853
cap=0.2,30,0.135036,0.2061307084847148,34.37269401550293,0.2342441290616989,1.7533072021468914,39989.54306273672,7.047509578707832,1.0,9.0,-0.0154500932048853
cap=None,30,0.135036,0.2061307084847148,33.48735976219177,0.2338585942983627,1.7533072021468916,39989.54306273672,7.047509578707832,1.0,9.0,-0.0154500932048853
depth=6,31,0.089092,0.1819313376126413,57.84250283241272,0.2136805713176727,1.79273511778579,39118.61158302634,7.054578338915038,0.0,0.0,0.0
upsampled (v1 style),39,0.0892854116458716,0.1893059860013232,74.89699149131775,-0.019885598309338,4.348086407496449,8158.8172205714,3.777962423010498,1.0,9.0,-0.6043740865141412
sample-weighted,39,0.0848030660369116,0.1982221138853099,63.66111850738525,-0.0121941041201353,4.368389225220991,9315.08828217328,3.550982804464846,2.0,9.0,-0.5065423867627112
init=k-means++,31,0.0875,0.1587476252935737,80.26792359352112,0.2114337205886841,1.8146881203330232,39177.4482415151,7.795325492059092,7.0,2.0,0.1117487740014417
init=semantic seeds,31,0.076196,0.1588617659690543,38.43542981147766,0.1978873908519745,1.559543699290623,40309.29465923885,7.265726729703111,7.0,4.0,0.100804697366418
init=seed-Ward blend,31,0.095759,0.1965072953302921,35.51828217506409,0.2251180648803711,1.790850838042105,40320.31586555032,7.988010979833815,9.0,2.0,0.9334326409187774
