family,feature_removed,method,positives,ap_lift,ap_lift_lo,ap_lift_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p
Coinbase,has_coinbase,unseeded ZSH,749,23.376178583268164,21.164060605604472,25.74085322949782,,,,
Coinbase,has_coinbase,"seeded, all families",749,23.8417548817376,21.6224636315796,26.183475750496505,0.4655762984694362,0.3225936837261601,0.613087725876551,0.0019980019980019
Coinbase,has_coinbase,"seeded, family withheld",749,23.84175487948016,21.622550857487564,26.183475750496505,0.4655762962119922,0.3225936837261601,0.6130877257444959,0.0019980019980019
ManyInManyOut,,unseeded ZSH,57088,22.101951187483905,21.856221992357973,22.383632649706357,,,,
ManyInManyOut,,"seeded, all families",57088,21.20086904936884,20.97252104941885,21.45151938319232,-0.9010821381150648,-1.075808848269556,-0.7518753715023051,0.0019980019980019
ManyInManyOut,,"seeded, family withheld",57088,19.058821702079424,18.860365070431847,19.28279123099977,-3.043129485404481,-3.2026346725147103,-2.8936570009660567,0.0019980019980019
SingleInFanOut,,unseeded ZSH,48946,22.42170727673414,22.15737440845937,22.717438302321437,,,,
SingleInFanOut,,"seeded, all families",48946,21.10307612566021,20.86178678328161,21.38242163715741,-1.31863115107393,-1.4298085044394164,-1.2147904196309798,0.0019980019980019
SingleInFanOut,,"seeded, family withheld",48946,19.289886310306404,18.96474778097568,19.509528291301457,-3.1318209664277354,-3.42370059795083,-3.0172245544744865,0.0019980019980019
FanIn,,unseeded ZSH,119797,13.92346039907306,13.764081404818034,14.049687612273289,,,,
FanIn,,"seeded, all families",119797,13.66070900738344,13.531409908804568,13.803251773859222,-0.2627513916896191,-0.3300511810900953,-0.160264429913409,0.0019980019980019
FanIn,,"seeded, family withheld",119797,13.895994301791069,13.765020524475691,14.038950845816734,-0.0274660972819926,-0.089592289037753,0.0651060827364823,0.7252747252747253
FanOut,,unseeded ZSH,178490,4.139092977784495,4.093886580663851,4.184305956260191,,,,
FanOut,,"seeded, all families",178490,5.453949523110769,5.395950151144015,5.513254282209007,1.3148565453262735,1.266553987048583,1.3718943494057645,0.0019980019980019
FanOut,,"seeded, family withheld",178490,4.94729519698196,4.892793323892173,5.001830500588252,0.8082022191974652,0.7678838738555304,0.860630371020921,0.0019980019980019
OneInOneOut,,unseeded ZSH,505982,4.139956088746972,4.103396517336769,4.177604157784244,,,,
OneInOneOut,,"seeded, all families",505982,4.262650675848664,4.227569059414497,4.300168298995459,0.1226945871016917,0.1104528450192681,0.1336169457536157,0.0019980019980019
OneInOneOut,,"seeded, family withheld",505982,4.136299283711935,4.101711242592944,4.1716589654797,-0.0036568050350371,-0.0140705172930789,0.0047191083347769,0.3396603396603396
OpReturn,has_op_return,unseeded ZSH,987688,2.1169329945453144,2.0975456416720006,2.135586363992129,,,,
OpReturn,has_op_return,"seeded, all families",987688,2.0738135531822026,2.055937990926108,2.091754134726105,-0.0431194413631117,-0.046738472266631,-0.0392908445273755,0.0019980019980019
OpReturn,has_op_return,"seeded, family withheld",987688,2.099441049237666,2.0810626120787883,2.117556476198169,-0.0174919453076483,-0.0227971334319894,-0.0122554968054646,0.0019980019980019
RBF,rbf_enabled,unseeded ZSH,314504,2.904361576596156,2.881482133150905,2.92782554300121,,,,
RBF,rbf_enabled,"seeded, all families",314504,2.935421481031925,2.911972422096645,2.960058335173277,0.0310599044357693,0.0222992752783746,0.0418936081528265,0.0019980019980019
RBF,rbf_enabled,"seeded, family withheld",314504,2.8170685391069634,2.794433444987445,2.8414197861242143,-0.0872930374891924,-0.0964637000280702,-0.0781296500609407,0.0019980019980019
