Annotation,Label,Share DEV,Share TEST,Share FUTURE (weighted)
L1,Coinbase,0.0003715583874002,0.0002898012404576,0.0002980864724107932
L1,FanIn,0.0709131001910525,0.0463515610188312,0.053920392886289886
L1,FanOut,0.0470951771357636,0.0690609124289522,0.1259801380093682
L1,ManyInManyOut,0.0161415752620911,0.0220883487519974,0.009565868402289235
L1,OneInOneOut,0.4049868227090668,0.19577331274932,0.15812682944599893
L1,OpReturn,0.0037483149554372,0.3821538152004426,0.3112507021274862
L1,RBF,0.1599067891536469,0.1216871152588671,0.15896864344303668
L1,SingleInFanOut,0.0268794914317302,0.0189380661087315,0.018689237977009207
L1,Unlabelled,0.2699571707738112,0.1436570672423999,0.16320010123611084
L1-rule,FanIn,0.0737700993085256,0.0489388786355739,
L1-rule,FanOut,0.085251435318534,0.1057848042003768,
L1-rule,ManyInManyOut,0.0161415752620911,0.0220883487519974,
L1-rule,OneInOneOut,0.4049868227090668,0.19577331274932,
L1-rule,SingleInFanOut,0.0268934324478969,0.0189593465736516,
L2,P2PKH,0.0862679172364299,0.0346387931267967,0.04594795259711824
L2,P2SH,0.0743783519051913,0.0435084909055031,0.03158639360162482
L2,P2TR,0.3590414763414894,0.4093761728438052,0.25413867843360594
L2,P2WPKH,0.4237205177814631,0.4724882280337237,0.6245720631833019
L2,P2WSH,0.0366145636340713,0.014269905940345,0.021587137237711586
L2,coinbase,0.0003715583874002,0.0002898012404576,0.0002980864724107932
L2,mixed,0.0196053116483857,0.0254270602391924,0.013270122331080497
L2,other,3.030655688419501e-07,1.5476701760087908e-06,0.008599566143146263
L3,none,0.9871982073065472,0.5831772121043285,0.5903894726352822
L3,omni,0.0003794380921901,0.0003385528510019,2.881599775921528e-05
L3,other_opreturn,0.0124223546012626,0.0135459832155169,0.017613512334689024
L3,runes,0.0,0.4029382518291527,0.3919681990322696
L4,coinjoin,0.0,0.0,0.0
L4,exchange,0.0075881557126647,0.003346449838075,0.0033220595129599853
L4,miner,0.0003179157817152,8.473494213648129e-05,8.001587339621217e-06
L4,other,2.2426852094304307e-05,3.4822578960197797e-06,1.3565461746481924e-06
L4,unknown,6.364376945680952e-06,1.934587720010989e-06,3.922199020754381e-06
all,rows,1.0,1.0,
L5,equal-output CoinJoin,,,0.0007668614669883356
