profile,share,share_test,share_future,med_inputs,med_outputs,med_value_sat,med_fee_rate,med_vsize,top_script,top_script_share,rbf_share,opreturn_share,runes_share_test,exchange_tag_share,top_rule,top_rule_share,eocj_share_future,representative_txid
0,0.0871068027309844,0.0191651867070608,0.0439225211840683,1.0,1.0,1144.9999874457717,6.078947104757198,137.0,P2TR,0.989624903016154,0.9592267734561736,0.0002157129486916,0.0083378757595946,0.0,OneInOneOut,0.997536697295586,0.0,95d7aea443947cf12711e755b494c6147e3687220c7fa5355aecc5507e037fdd
1,0.0766198248523464,0.0569937280666117,0.007468125890363,1.0,2.0,2011790.4990911484,22.02062039450827,142.0,P2WPKH,0.928948326055313,0.3904025061704955,0.0006130941079678,0.3332269758726969,0.0038605151572685,Unlabelled,0.5914736409088033,0.0,92abafcd27b1d905f6e27f97c113cad6cae022f1164fc5aee02afea103da4419
2,0.0730651687953992,0.0388488429230846,0.0001303986523698,1.0,1.0,9680.00022112392,60.99999799716768,150.0,P2TR,0.9980629399345464,0.789254501487015,2.0739401129053e-05,0.0006075334143377,4.1478802258106e-06,OneInOneOut,0.9808699763985615,0.0,3ce1b372f82b4c93c4f645a0c2d777cc213a3e4eca8820c066232b1bc0bbed44
3,0.0706648894901709,0.0466034443399767,0.0029231650964968,1.0,1.0,2841.0000595613383,16.30147006140118,140.0,P2TR,0.9884160279971008,0.8991280927403964,7.29091166417203e-05,0.0006890940488841,0.0,OneInOneOut,0.9919456869968736,0.0,eec5afdbc62fa4a6cb56cbf27ca336870ec08753510eb4cad9611f5df264ed53
4,0.0694483842968393,0.0488920616127497,0.0085319040488536,2.0,2.0,1441620.010882616,22.04419791605838,208.0,P2WPKH,0.5935553974855228,0.352755582514739,0.0027405270714326,0.0215490293836012,0.0020641230967955,Unlabelled,0.5829293092388055,0.0,c561f3058b2b72538748cd4c29a2a48f6266880b29d42001b6622f7ed42fd67d
5,0.0632194776604307,0.0968791230900782,0.0341158582142795,1.0,2.0,1284682.983532548,11.893617022693396,142.0,P2WPKH,0.8897890699904123,0.3869367209971237,0.0008533077660594,0.6285150586891491,0.0012511984659635,Unlabelled,0.5893192713326941,0.0,9a7c85967ca241f080ae35792fd158ad815572b4820259b849e24318fd0c1900
6,0.0602545872004499,0.063218844432063,0.006096585602611,1.0,2.0,1398670.021444559,48.9999979731397,142.0,P2WPKH,0.7435983844439862,0.4251648500882721,0.003113415854781,0.1233605278136494,0.001911305371271,Unlabelled,0.5537957015748151,0.0,96dea0ee7811846433767592189125cf2b0b3a1759f1bd7c83b21f564bf2a26b
7,0.0546042327349606,0.1197769033441283,0.0216217025614717,1.0,1.0,343614.0017583966,20.99999925379221,111.0,P2WPKH,0.8716511352977416,0.4259850255032663,0.0024309968752254,0.7257071974725988,9.43537599973359e-05,OneInOneOut,0.996675417515388,0.0,6b60181934103bb1014bed36b5a47f3d8baf803194be45f822537082c8ac234d
8,0.045930496154704,0.0187554410279625,0.0103840495716188,1.0,2.0,1381350.02925992,23.00000051036477,223.0,P2PKH,0.9993797549372166,0.176248573106438,0.0216821837904891,0.0005157403969138,0.0027581110238662,Unlabelled,0.5488508970459179,0.0,ea67f35a76b5db7b84f3e1110833a0fdeacf83b01fc8d02bbc2fc1f589e1bad5
9,0.0381953536411509,0.0091455699875799,3.889949106327112e-05,1.0,1.0,31626.00041832775,209.9999992966356,151.0,P2TR,0.9995635959692136,0.8291597238752678,0.0001983654685392,0.203282988534924,2.38038562247084e-05,OneInOneOut,0.987026898357534,0.0,9d2d1252d84b7f0c2c048e7a5840b8953d831c28cde98b56cfe9c9d18a1b093c
10,0.0381495907402558,0.1557869322468688,0.4496672611038874,1.0,2.0,1217576.9545137882,2.9999998534751486,144.0,P2WPKH,0.6946035478515082,0.2881100104068193,0.0384099015721446,0.8176988644830566,0.0002462682417241,Unlabelled,0.6224628412999785,0.0,c29b24c9bc2a246bf3ab8946759485d684453395b1da43dc62b18d4a4db49ba0
11,0.0328710977277355,0.0288094934088596,0.0008629043739898,1.0,2.0,2321694.5119202137,184.80141789170236,144.0,P2WPKH,0.5813741218122476,0.5359849532555181,0.0096439305932031,0.429498113055507,0.0032453762608102,RBF,0.4733547233132341,0.0,8bea8bf4dd8454890c5a31a659302001b35e9ae1e2737f0aba7a4fbed6ef3ab5
12,0.0299925809548747,0.0193644492422219,0.1860194500052644,2.0,2.0,481839.501298964,4.9999998908496535,204.0,P2WPKH,0.3995291217008205,0.2451598561092922,0.013156299260337,0.0337276214833759,0.0004142920658017,Unlabelled,0.4919061476900691,0.0,761073f5bd2c530dbb899372ba6505486abd0c8f8da6f56e493627adb301e428
