Contrast,Annotation type,Target,AP lift (test arm),AP lift (reference arm),Difference,95% CI low,95% CI high,p (Holm)
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Coinbase,22.18439124710544,12.172867688095591,10.011523559009849,8.558367654143328,11.543899241138872,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: P2PKH,23.29590564616461,16.54922347238704,6.746682173777565,6.620660106607017,6.879977290902294,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: P2SH,5.478742196789828,2.6078152576043125,2.870926939185516,2.8053571693844903,2.946972405129117,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: P2WPKH,1.7634146423874686,1.465406949133368,0.2980076932541005,0.2904877705177736,0.3047345678199021,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: P2WSH,7.272951122829776,7.08671407674334,0.1862370460864362,0.0862023843945302,0.2823513632975331,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: P2TR,2.0459738683128386,1.7533690251835723,0.2926048431292662,0.2837953699786988,0.3017940014003415,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Inputs: mixed,8.864523135811043,11.458832510770709,-2.594309374959666,-2.6820013859559926,-2.520976826964892,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,OP_RETURN: Runes,1.9251229379444688,2.002838222534325,-0.0777152845898561,-0.0819872314742128,-0.0729955037641798,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,OP_RETURN: Omni,26.399939219053746,16.680254429221762,9.71968478983198,6.824179431507763,11.930469910042357,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,OP_RETURN: other,7.214530430317313,4.758574260610327,2.4559561697069867,2.0427513825886776,2.9151189773829733,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",independent,Tag: exchange,20.632535743332333,24.000659683309035,-3.3681239399767016,-3.989298956296552,-2.779542349619506,0.0219780219780219
"H1 primary: rank-power vs uniform (no refinement, K*)",structural,Rule: ManyInManyOut,22.025042534014347,31.410477503153714,-9.385434969139368,-9.65502375474424,-9.217388556115232,0.0099900099900099
"H1 primary: rank-power vs uniform (no refinement, K*)",structural,Rule: SingleInFanOut,21.982394041179745,27.442829090732403,-5.4604350495526575,-5.704557254298226,-5.29988494766737,0.0099900099900099
"H1 primary: rank-power vs uniform (no refinement, K*)",structural,Rule: FanIn,14.176124101574532,17.372571498202436,-3.196447396627903,-3.279823313361452,-3.1073565375727648,0.0099900099900099
"H1 primary: rank-power vs uniform (no refinement, K*)",structural,Rule: FanOut,6.756049475924009,6.762095352614368,-0.0060458766903588,-0.0281897738783916,0.016509819932492,0.5814185814185814
"H1 primary: rank-power vs uniform (no refinement, K*)",structural,Rule: OneInOneOut,4.183346184105808,4.560785304691347,-0.3774391205855387,-0.3980952109621725,-0.3592200979091736,0.0099900099900099
H1 secondary: rank-power vs uniform (with refinement),independent,Coinbase,22.383111647815333,12.152775913399095,10.230335734416238,8.707316995219976,11.840157935104944,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: P2PKH,23.34565606660712,17.32604779338115,6.01960827322597,5.898672718783606,6.136453901181857,0.0219780219780219
H1 secondary: rank-power vs uniform (with refinement),independent,Inputs: P2SH,5.42531968556861,2.564471948182029,2.8608477373865804,2.798115606224291,2.934306440903208,0.0219780219780219
